"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"10.568.981,48";"249.380.083,92";"245.681.938,22";"587.095,45";
"08/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"42.794.969,42";"224.493.363,14";"226.601.779,67";"2.563.127,58";
"04/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"39.668.123,10";"210.253.228,92";"209.283.634,21";"1.592.947,49";
"10/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"30.222.296,59";"211.559.989,76";"211.243.889,08";"218.715,03";
"12/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"26.892.323,06";"270.232.518,29";"247.944.572,96";"141.284,78";
"09/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 5.855.395,74";"207.387.375,98";"207.101.735,66";"170.927,88";
"02/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"17.731.889,14";"208.433.983,78";"202.669.910,53";"4.167.665,54";
"03/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"115.780.359,33";"218.446.429,19";"214.953.560,94";"6.468.101,15";
"05/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"12.494.529,28";"219.395.949,29";"226.283.794,23";"2.179.683,78";
"11/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"90.320.581,20";"323.360.356,83";"325.946.348,54";"563.714,25";
"07/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"11.524.307,58";"214.410.658,87";"214.089.655,01";"581.059,39";
"01/2014";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"2.392.215.909,96";"208.098.418,42";"202.448.836,12";"12.057.578,62";
"02/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"8.411.082,45";"704.180,99";"687.878,99";"5.128.437,03";
"03/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.942.404,80";"1.761.357,07";"1.744.619,96";"3.867.313,20";
"11/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"45.949.453,57";"6.188.499,04";"5.354.641,52";"0,00";
"12/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"21.113.073,93";"1.279.946,12";"2.084.823,64";"1.617.818,16";
"08/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"3.666.635,22";"7.845.266,92";"7.829.105,28";"2.271.264,91";
"06/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"67.885,02";"2.722.171,37";"3.041.853,85";"2.000.822,32";
"09/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.011.471,42";"2.349.412,04";"2.346.324,53";"5.250.132,52";
"10/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.667.432,69";"3.958.915,04";"4.095.532,68";"570.408,70";
"07/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"248.787,19";"4.977.138,57";"4.954.997,17";"2.848.591,46";
"01/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"6.508.277,61";"683.429,42";"683.429,42";"1.803.620,53";
"05/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"3.932.734,74";"13.673.196,95";"13.315.816,32";"3.408.977,00";
"04/2014";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"29.630.485,76";"4.580.611,80";"4.556.121,97";"6.044.866,67";
"10/2014";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"15.884.266,43";"40.195.977,84";"41.976.047,18";"825.831,15";
"12/2014";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"14.929.354,95";"39.201.780,33";"40.259.620,55";"162.280,79";
"09/2014";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"7.764.671,81";"38.214.288,31";"35.942.129,54";"33.427,49";
"06/2014";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"10.513.557,81";"38.003.612,00";"38.008.406,50";"338.148,15";
