0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2009  19. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1Distrito Federal932.606.88528.0312São Paulo73141.384.03956.6133Rio de Janeiro25516.010.42962.7864Rio Grande do Sul13910.914.12878.5195Paraná13610.686.24778.5756Goiás745.926.30080.0857Espirito Santo433.487.19981.0988Roraima5421.49984.3009Santa Catarina726.118.74384.98310Amapá6626.609104.43511Minas Gerais18420.033.665108.87912Amazonas313.393.369109.46413Mato Grosso263.001.692115.45014Rondonia131.503.928115.68715Mato Grosso do Sul172.360.498138.85316Sergipe142.019.679144.26317Pernambuco538.810.256166.23118Bahia7814.637.364187.65919Paraiba203.769.977188.49920Ceará418.547.809208.48321Rio Grande do Norte143.137.541224.11022Acre3691.132230.37723Piaui103.145.325314.53324Pará197.431.020391.10625Tocantins31.292.051430.68426Maranhão116.367.138578.83127Alagoas53.156.108631.222Total2.096191.480.63091.355Fonte: Banco de dados Filme B /Pop: IBGE-estimativa 2009 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2009,,,,,,,,,,,,,,,,,,,,,
,19. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1Distrito Federal932.606.88528.0312São Paulo73141.384.03956.6133Rio de Janeiro25516.010.42962.7864Rio Grande do Sul13910.914.12878.5195Paraná13610.686.24778.5756Goiás745.926.30080.0857Espirito Santo433.487.19981.0988Roraima5421.49984.3009Santa Catarina726.118.74384.98310Amapá6626.609104.43511Minas Gerais18420.033.665108.87912Amazonas313.393.369109.46413Mato Grosso263.001.692115.45014Rondonia131.503.928115.68715Mato Grosso do Sul172.360.498138.85316Sergipe142.019.679144.26317Pernambuco538.810.256166.23118Bahia7814.637.364187.65919Paraiba203.769.977188.49920Ceará418.547.809208.48321Rio Grande do Norte143.137.541224.11022Acre3691.132230.37723Piaui103.145.325314.53324Pará197.431.020391.10625Tocantins31.292.051430.68426Maranhão116.367.138578.83127Alagoas53.156.108631.222Total2.096191.480.63091.355Fonte: Banco de dados Filme B /Pop: IBGE-estimativa 2009 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,Distrito Federal,93,2.606.885,28.031,,,,,,,,,,,,,,,,,,
2,São Paulo,731,41.384.039,56.613,,,,,,,,,,,,,,,,,,
