0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,121,808,"34,1%"
RIO DE JANEIRO,43,263,"11,1%"
MINAS GERAIS,31,180,"7,6%"
PARANÁ,21,125,"5,3%"
RIO GRANDE DO SUL,16,94,"4,0%"
SANTA CATARINA,16,90,"3,8%"
DISTRITO FEDERAL,12,83,"3,5%"
PERNAMBUCO,12,81,"3,4%"
GOIÁS,13,72,"3,0%"
BAHIA,11,72,"3,0%"
CEARÁ,11,69,"2,9%"
AMAZONAS,8,63,"2,7%"
ESPIRITO SANTO,9,52,"2,2%"
PARÁ,8,47,"2,0%"
MARANHÃO,7,45,"1,9%"
PARAÍBA,5,31,"1,3%"
RIO GRANDE DO NORTE,5,31,"1,3%"
MATO GROSSO,4,29,"1,2%"
ALAGOAS,4,26,"1,1%"
MATO GROSSO DO SUL,3,23,"1,0%"
PIAUÍ,3,23,"1,0%"
SERGIPE,3,18,"0,8%"
AMAPÁ,2,13,"0,5%"
TOCANTINS,2,11,"0,5%"
RORAIMA,2,9,"0,4%"
RONDÔNIA,1,5,"0,2%"
ACRE,1,4,"0,2%"
Total,374,2.367,
