0,1,2
Total de salas multiplex por estado,Total de salas multiplex por estado,Total de salas multiplex por estado
UF,total,market share
São Paulo,502,"39,6%"
Rio de Janeiro,127,"10,0%"
Minas Gerais,97,"7,7%"
Paraná,81,"6,4%"
Distrito Federal,65,"5,1%"
Rio Grande do Sul,57,"4,5%"
Goiás,50,"3,9%"
Pernambuco,41,"3,2%"
Bahia,40,"3,2%"
Amazonas,30,"2,4%"
Santa Catarina,30,"2,4%"
Espirito Santo,25,"2,0%"
Ceará,24,"1,9%"
Paraiba,18,"1,4%"
Mato Grosso,16,"1,3%"
Rio Grande do Norte,14,"1,1%"
Sergipe,14,"1,1%"
Pará,12,"0,9%"
Maranhão,10,"0,8%"
Mato Grosso do Sul,9,"0,7%"
Rondonia,5,"0,4%"
Acre,0,"0,0%"
Alagoas,0,"0,0%"
Amapá,0,"0,0%"
Piaui,0,"0,0%"
Roraima,0,"0,0%"
Tocantins,0,"0,0%"
Total,1.267,
