0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,107,730,"33,9%"
RIO DE JANEIRO,33,207,"10,4%"
MINAS GERAIS,28,164,"8,9%"
PARANÁ,19,114,"6,0%"
RIO GRANDE DO SUL,15,88,"4,7%"
DISTRITO FEDERAL,11,76,"3,5%"
PERNAMBUCO,11,73,"3,5%"
SANTA CATARINA,12,67,"3,8%"
BAHIA,8,57,"2,5%"
GOIÁS,10,56,"3,2%"
AMAZONAS,7,55,"2,2%"
CEARÁ,7,49,"2,2%"
ESPIRITO SANTO,8,44,"2,5%"
PARÁ,6,35,"1,9%"
RIO GRANDE DO NORTE,5,31,"1,6%"
MARANHÃO,4,29,"1,3%"
ALAGOAS,4,26,"1,3%"
PARAÍBA,4,23,"1,3%"
MATO GROSSO,3,23,"0,9%"
MATO GROSSO DO SUL,3,23,"0,9%"
SERGIPE,3,18,"0,9%"
TOCANTINS,2,11,"0,6%"
PIAUÍ,2,9,"0,6%"
RONDÔNIA,2,8,"0,6%"
AMAPÁ,1,5,"0,3%"
ACRE,1,4,"0,3%"
Total,316,2025,
