0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2012  16. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL763.188.44541.9532SÃO PAULO87341.901.21947.9973RIO DE JANEIRO31816.231.36551.0424SANTA CATARINA1066.383.28660.2205PARANÁ15910.577.75566.5276RIO GRANDE DO SUL16010.770.60367.3167GOIÁS846.154.99673.2748ESPIRITO SANTO473.578.06776.1299RORAIMA6469.52478.25410AMAPÁ8698.60287.32511MINAS GERAIS22219.855.33289.43812AMAZONAS383.590.98594.50013TOCANTINS141.417.694101.26414MATO GROSSO DO SUL242.505.088104.37915ACRE7758.786108.39816MATO GROSSO273.115.336115.38317PERNAMBUCO778.931.028115.98718RONDONIA131.590.011122.30919PARAIBA263.815.171146.73720SERGIPE142.110.867150.77621BAHIA8514.175.341166.76922RIO GRANDE DO NORTE193.228.198169.90523PARÁ397.762.758199.04524CEARÁ428.606.005204.90525ALAGOAS143.165.472226.10526PIAUI103.160.748316.07527MARANHÃO216.714.314319.729total2.529194.456.99676.891Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2012,,,,,,,,,,,,,,,,,,,,,
,16. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL763.188.44541.9532SÃO PAULO87341.901.21947.9973RIO DE JANEIRO31816.231.36551.0424SANTA CATARINA1066.383.28660.2205PARANÁ15910.577.75566.5276RIO GRANDE DO SUL16010.770.60367.3167GOIÁS846.154.99673.2748ESPIRITO SANTO473.578.06776.1299RORAIMA6469.52478.25410AMAPÁ8698.60287.32511MINAS GERAIS22219.855.33289.43812AMAZONAS383.590.98594.50013TOCANTINS141.417.694101.26414MATO GROSSO DO SUL242.505.088104.37915ACRE7758.786108.39816MATO GROSSO273.115.336115.38317PERNAMBUCO778.931.028115.98718RONDONIA131.590.011122.30919PARAIBA263.815.171146.73720SERGIPE142.110.867150.77621BAHIA8514.175.341166.76922RIO GRANDE DO NORTE193.228.198169.90523PARÁ397.762.758199.04524CEARÁ428.606.005204.90525ALAGOAS143.165.472226.10526PIAUI103.160.748316.07527MARANHÃO216.714.314319.729total2.529194.456.99676.891Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,76,3.188.445,41.953,,,,,,,,,,,,,,,,,,
2,SÃO PAULO,873,41.901.219,47.997,,,,,,,,,,,,,,,,,,
3,RIO DE JANEIRO,318,16.231.365,51.042,,,,,,,,,,,,,,,,,,
4,SANTA CATARINA,106,6.383.286,60.220,,,,,,,,,,,,,,,,,,
5,PARANÁ,159,10.577.755,66.527,,,,,,,,,,,,,,,,,,
6,RIO GRANDE DO SUL,160,10.770.603,67.316,,,,,,,,,,,,,,,,,,
7,GOIÁS,84,6.154.996,73.274,,,,,,,,,,,,,,,,,,
8,ESPIRITO SANTO,47,3.578.067,76.129,,,,,,,,,,,,,,,,,,
9,RORAIMA,6,469.524,78.254,,,,,,,,,,,,,,,,,,
10,AMAPÁ,8,698.602,87.325,,,,,,,,,,,,,,,,,,
11,MINAS GERAIS,222,19.855.332,89.438,,,,,,,,,,,,,,,,,,
12,AMAZONAS,38,3.590.985,94.500,,,,,,,,,,,,,,,,,,
13,TOCANTINS,14,1.417.694,101.264,,,,,,,,,,,,,,,,,,
14,MATO GROSSO DO SUL,24,2.505.088,104.379,,,,,,,,,,,,,,,,,,
15,ACRE,7,758.786,108.398,,,,,,,,,,,,,,,,,,
16,MATO GROSSO,27,3.115.336,115.383,,,,,,,,,,,,,,,,,,
17,PERNAMBUCO,77,8.931.028,115.987,,,,,,,,,,,,,,,,,,
18,RONDONIA,13,1.590.011,122.309,,,,,,,,,,,,,,,,,,
19,PARAIBA,26,3.815.171,146.737,,,,,,,,,,,,,,,,,,
20,SERGIPE,14,2.110.867,150.776,,,,,,,,,,,,,,,,,,
21,BAHIA,85,14.175.341,166.769,,,,,,,,,,,,,,,,,,
22,RIO GRANDE DO NORTE,19,3.228.198,169.905,,,,,,,,,,,,,,,,,,
23,PARÁ,39,7.762.758,199.045,,,,,,,,,,,,,,,,,,
24,CEARÁ,42,8.606.005,204.905,,,,,,,,,,,,,,,,,,
25,ALAGOAS,14,3.165.472,226.105,,,,,,,,,,,,,,,,,,
26,PIAUI,10,3.160.748,316.075,,,,,,,,,,,,,,,,,,
27,MARANHÃO,21,6.714.314,319.729,,,,,,,,,,,,,,,,,,
total,,2.529,194.456.996,76.891,,,,,,,,,,,,,,,,,,
Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,Fonte: Filme B Box Office /Pop: IBGE-estimativa 2012 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
