0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,138,911,"33,30%"
RIO DE JANEIRO,49,301,"11,00%"
MINAS GERAIS,35,201,"7,30%"
PARANÁ,29,165,"6,00%"
RIO GRANDE DO SUL,22,125,"4,60%"
SANTA CATARINA,20,107,"3,90%"
PERNAMBUCO,15,101,"3,70%"
GOIÁS,16,97,"3,50%"
BAHIA,14,84,"3,10%"
CEARÁ,12,83,"3,00%"
DISTRITO FEDERAL,14,77,"2,80%"
PARÁ,9,68,"2,50%"
ESPIRITO SANTO,10,61,"2,20%"
AMAZONAS,10,55,"2,00%"
MARANHÃO,9,51,"1,90%"
MATO GROSSO,5,36,"1,30%"
PARAÍBA,6,35,"1,30%"
RIO GRANDE DO NORTE,5,31,"1,10%"
PIAUÍ,5,31,"1,10%"
ALAGOAS,4,26,"0,90%"
SERGIPE,4,24,"0,90%"
MATO GROSSO DO SUL,3,23,"0,80%"
AMAPÁ,2,13,"0,50%"
TOCANTINS,2,11,"0,40%"
RORAIMA,2,9,"0,30%"
ACRE,1,6,"0,20%"
RONDÔNIA,1,6,"0,20%"
Total,442,2738,
