0,1
Total de salas multiplex por estado,Total de salas multiplex por estado
São Paulo,412
Rio de Janeiro,102
Minas Gerais,95
Paraná,65
Distrito Federal,51
Rio Grande do Sul,44
Pernambuco,36
Bahia,26
Goiás,22
Paraíba,21
Ceará,18
Mato Grosso,17
Amazonas,16
Sergipe,14
Rio Grande do Norte,14
Espírito Santo,11
Maranhão,10
Mato Grosso do Sul,9
Pará,7
Santa Catarina,6
Total,996
