0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2013  15. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL813.476.59842.9212SÃO PAULO89343.663.66948.8953RIO DE JANEIRO31116.369.17952.6344SANTA CATARINA1096.634.25460.8655PARANÁ16810.997.46565.4616RIO GRANDE DO SUL16811.164.04366.4537ESPIRITO SANTO563.839.36668.5608GOIÁS926.434.04869.9359AMAZONAS473.807.92181.02010RORAIMA6488.07281.34511MATO GROSSO363.182.11388.39212MATO GROSSO DO SUL282.587.26992.40213MINAS GERAIS21320.593.35696.68214PERNAMBUCO829.208.550112.29915TOCANTINS131.478.164113.70516SERGIPE192.195.662115.56117RIO GRANDE DO NORTE293.373.959116.34318RONDONIA131.728.214132.94019PARAIBA263.914.421150.55520ACRE5776.463155.29321BAHIA9315.044.137161.76522PARÁ477.999.729170.20723CEARÁ498.778.576179.15524AMAPÁ4734.996183.74925MARANHÃO336.794.301205.88826ALAGOAS143.300.935235.78127PIAUI103.184.166318.417Total2.645201.749.62676.276Fonte: Filme B Box Office /Pop: IBGE-estimativa 2013 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2013,,,,,,,,,,,,,,,,,,,,,
,15. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL813.476.59842.9212SÃO PAULO89343.663.66948.8953RIO DE JANEIRO31116.369.17952.6344SANTA CATARINA1096.634.25460.8655PARANÁ16810.997.46565.4616RIO GRANDE DO SUL16811.164.04366.4537ESPIRITO SANTO563.839.36668.5608GOIÁS926.434.04869.9359AMAZONAS473.807.92181.02010RORAIMA6488.07281.34511MATO GROSSO363.182.11388.39212MATO GROSSO DO SUL282.587.26992.40213MINAS GERAIS21320.593.35696.68214PERNAMBUCO829.208.550112.29915TOCANTINS131.478.164113.70516SERGIPE192.195.662115.56117RIO GRANDE DO NORTE293.373.959116.34318RONDONIA131.728.214132.94019PARAIBA263.914.421150.55520ACRE5776.463155.29321BAHIA9315.044.137161.76522PARÁ477.999.729170.20723CEARÁ498.778.576179.15524AMAPÁ4734.996183.74925MARANHÃO336.794.301205.88826ALAGOAS143.300.935235.78127PIAUI103.184.166318.417Total2.645201.749.62676.276Fonte: Filme B Box Office /Pop: IBGE-estimativa 2013 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,81,3.476.598,42.921,,,,,,,,,,,,,,,,,,
2,SÃO PAULO,893,43.663.669,48.895,,,,,,,,,,,,,,,,,,
