0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2019  16. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL883.015.26834.2642RORAIMA15605.76140.3843SÃO PAULO1.09445.919.04941.9744RIO DE JANEIRO38217.264.94345.1965SANTA CATARINA1517.164.78847.4496PARANÁ22111.433.95751.7377ESPIRITO SANTO744.018.65054.3068AMAPÁ15845.73156.3829AMAZONAS724.144.59757.56410RIO GRANDE DO SUL18811.377.23960.51711GOIÁS1147.018.35461.56512MATO GROSSO533.484.46665.74513MINAS GERAIS28121.168.79175.33414RONDONIA221.777.22580.78315PERNAMBUCO1189.557.07180.99216TOCANTINS191.572.86682.78217CEARÁ1099.132.07883.78118SERGIPE272.298.69685.13719PARAIBA454.018.12789.29220MATO GROSSO DO SUL312.778.98689.64521PIAUI343.273.22796.27122PARÁ858.602.865101.21023RIO GRANDE DO NORTE313.506.853113.12424BAHIA13014.873.064114.40825ALAGOAS293.337.357115.08126MARANHÃO617.075.181115.98727ACRE7881.935125.991Total3.496210.147.12560.111Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2019,,,,,,,,,,,,,,,,,,,,,
,16. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL883.015.26834.2642RORAIMA15605.76140.3843SÃO PAULO1.09445.919.04941.9744RIO DE JANEIRO38217.264.94345.1965SANTA CATARINA1517.164.78847.4496PARANÁ22111.433.95751.7377ESPIRITO SANTO744.018.65054.3068AMAPÁ15845.73156.3829AMAZONAS724.144.59757.56410RIO GRANDE DO SUL18811.377.23960.51711GOIÁS1147.018.35461.56512MATO GROSSO533.484.46665.74513MINAS GERAIS28121.168.79175.33414RONDONIA221.777.22580.78315PERNAMBUCO1189.557.07180.99216TOCANTINS191.572.86682.78217CEARÁ1099.132.07883.78118SERGIPE272.298.69685.13719PARAIBA454.018.12789.29220MATO GROSSO DO SUL312.778.98689.64521PIAUI343.273.22796.27122PARÁ858.602.865101.21023RIO GRANDE DO NORTE313.506.853113.12424BAHIA13014.873.064114.40825ALAGOAS293.337.357115.08126MARANHÃO617.075.181115.98727ACRE7881.935125.991Total3.496210.147.12560.111Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,88,3.015.268,34.264,,,,,,,,,,,,,,,,,,
2,RORAIMA,15,605.761,40.384,,,,,,,,,,,,,,,,,,
3,SÃO PAULO,1.094,45.919.049,41.974,,,,,,,,,,,,,,,,,,
4,RIO DE JANEIRO,382,17.264.943,45.196,,,,,,,,,,,,,,,,,,
5,SANTA CATARINA,151,7.164.788,47.449,,,,,,,,,,,,,,,,,,
6,PARANÁ,221,11.433.957,51.737,,,,,,,,,,,,,,,,,,
7,ESPIRITO SANTO,74,4.018.650,54.306,,,,,,,,,,,,,,,,,,
8,AMAPÁ,15,845.731,56.382,,,,,,,,,,,,,,,,,,
9,AMAZONAS,72,4.144.597,57.564,,,,,,,,,,,,,,,,,,
10,RIO GRANDE DO SUL,188,11.377.239,60.517,,,,,,,,,,,,,,,,,,
11,GOIÁS,114,7.018.354,61.565,,,,,,,,,,,,,,,,,,
12,MATO GROSSO,53,3.484.466,65.745,,,,,,,,,,,,,,,,,,
13,MINAS GERAIS,281,21.168.791,75.334,,,,,,,,,,,,,,,,,,
14,RONDONIA,22,1.777.225,80.783,,,,,,,,,,,,,,,,,,
15,PERNAMBUCO,118,9.557.071,80.992,,,,,,,,,,,,,,,,,,
16,TOCANTINS,19,1.572.866,82.782,,,,,,,,,,,,,,,,,,
17,CEARÁ,109,9.132.078,83.781,,,,,,,,,,,,,,,,,,
18,SERGIPE,27,2.298.696,85.137,,,,,,,,,,,,,,,,,,
19,PARAIBA,45,4.018.127,89.292,,,,,,,,,,,,,,,,,,
20,MATO GROSSO DO SUL,31,2.778.986,89.645,,,,,,,,,,,,,,,,,,
21,PIAUI,34,3.273.227,96.271,,,,,,,,,,,,,,,,,,
22,PARÁ,85,8.602.865,101.210,,,,,,,,,,,,,,,,,,
23,RIO GRANDE DO NORTE,31,3.506.853,113.124,,,,,,,,,,,,,,,,,,
24,BAHIA,130,14.873.064,114.408,,,,,,,,,,,,,,,,,,
25,ALAGOAS,29,3.337.357,115.081,,,,,,,,,,,,,,,,,,
26,MARANHÃO,61,7.075.181,115.987,,,,,,,,,,,,,,,,,,
27,ACRE,7,881.935,125.991,,,,,,,,,,,,,,,,,,
,Total,3.496,210.147.125,60.111,,,,,,,,,,,,,,,,,,
Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
