0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,103,697,"35,6%"
RIO DE JANEIRO,30,193,"10,4%"
MINAS GERAIS,24,138,"8,3%"
PARANÁ,18,106,"6,2%"
RIO GRANDE DO SUL,14,84,"4,8%"
DISTRITO FEDERAL,11,76,"3,8%"
PERNAMBUCO,9,65,"3,1%"
BAHIA,8,63,"2,8%"
SANTA CATARINA,11,61,"3,8%"
GOIÁS,9,51,"3,1%"
AMAZONAS,6,46,"2,1%"
ESPIRITO SANTO,7,38,"2,4%"
PARÁ,6,35,"2,1%"
MARANHÃO,4,29,"1,4%"
RIO GRANDE DO NORTE,5,29,"1,7%"
CEARÁ,4,28,"1,4%"
MATO GROSSO,3,23,"1,0%"
MATO GROSSO DO SUL,3,23,"1,0%"
PARAÍBA,4,23,"1,4%"
SERGIPE,3,18,"1,0%"
ALAGOAS,2,11,"0,7%"
TOCANTINS,2,11,"0,7%"
PIAUÍ,1,5,"0,3%"
RONDÔNIA,1,5,"0,3%"
ACRE,1,4,"0,3%"
TOTAL,289,1.862,
