0,1,2
Total de salas multiplex por estado,Total de salas multiplex por estado,Total de salas multiplex por estado
UF,total,market share
São Paulo,490,"39,9%"
Rio de Janeiro,127,"10,4%"
Minas Gerais,94,"7,7%"
Paraná,78,"6,4%"
Distrito Federal,61,"5,0%"
Rio Grande do Sul,58,"4,7%"
Goiás,50,"4,1%"
Pernambuco,41,"3,3%"
Bahia,34,"2,8%"
Santa Catarina,30,"2,4%"
Amazonas,30,"2,4%"
Espírito Santo,23,"1,9%"
Paraíba,18,"1,5%"
Ceará,18,"1,5%"
Mato Grosso,16,"1,3%"
Rio Grande do Norte,14,"1,1%"
Pará,12,"1,0%"
Maranhão,10,"0,8%"
Sergipe,9,"0,7%"
Mato Grosso do Sul,9,"0,7%"
Rondônia,5,"0,4%"
Total,1227,
