0,1,2
Total de salas multiplex por estado,Total de salas multiplex por estado,Total de salas multiplex por estado
UF,total,market share
São Paulo,546,"39,2%"
Rio de Janeiro,159,"11,4%"
Minas Gerais,97,"7,0%"
Paraná,88,"6,3%"
Distrito Federal,66,"4,7%"
Rio Grande do Sul,65,"4,7%"
Bahia,46,"3,3%"
Pernambuco,41,"2,9%"
Amazonas,40,"2,9%"
Goiás,40,"2,9%"
Santa Catarina,40,"2,9%"
Espirito Santo,25,"1,8%"
Ceará,24,"1,7%"
Pará,19,"1,4%"
Paraiba,18,"1,3%"
Maranhão,16,"1,1%"
Mato Grosso,16,"1,1%"
Rio Grande do Norte,14,"1,0%"
Sergipe,14,"1,0%"
Mato Grosso do Sul,9,"0,6%"
Alagoas,5,"0,4%"
Rondonia,5,"0,4%"
Total,1.393,"100,0%"
