0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2020  16. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL883.055.14934.7182RORAIMA15631.18142.0793SÃO PAULO1.09546.289.33342.2734RIO DE JANEIRO38117.366.18945.5815SANTA CATARINA1517.252.50248.0306PARANÁ22611.516.84050.9597ESPIRITO SANTO744.064.05254.9208AMAPÁ15861.77357.4529AMAZONAS724.207.71458.44010RIO GRANDE DO SUL19311.422.97359.18611GOIÁS1197.113.54059.77812MATO GROSSO533.526.22066.53213MINAS GERAIS28621.292.66674.45014RONDONIA241.796.46074.85315PERNAMBUCO1219.616.62179.47616MATO GROSSO DO SUL352.809.39480.26817CEARÁ1139.187.10381.30218TOCANTINS191.590.24883.69719SERGIPE272.318.82285.88220PARAIBA454.039.27789.76221PIAUI343.281.48096.51422PARÁ858.690.745102.24423RIO GRANDE DO NORTE333.534.165107.09624BAHIA13314.930.634112.26025MARANHÃO637.114.598112.93026ALAGOAS293.351.543115.57027ACRE7894.470127.781Total3.536211.755.69259.886Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2020,,,,,,,,,,,,,,,,,,,,,
,16. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL883.055.14934.7182RORAIMA15631.18142.0793SÃO PAULO1.09546.289.33342.2734RIO DE JANEIRO38117.366.18945.5815SANTA CATARINA1517.252.50248.0306PARANÁ22611.516.84050.9597ESPIRITO SANTO744.064.05254.9208AMAPÁ15861.77357.4529AMAZONAS724.207.71458.44010RIO GRANDE DO SUL19311.422.97359.18611GOIÁS1197.113.54059.77812MATO GROSSO533.526.22066.53213MINAS GERAIS28621.292.66674.45014RONDONIA241.796.46074.85315PERNAMBUCO1219.616.62179.47616MATO GROSSO DO SUL352.809.39480.26817CEARÁ1139.187.10381.30218TOCANTINS191.590.24883.69719SERGIPE272.318.82285.88220PARAIBA454.039.27789.76221PIAUI343.281.48096.51422PARÁ858.690.745102.24423RIO GRANDE DO NORTE333.534.165107.09624BAHIA13314.930.634112.26025MARANHÃO637.114.598112.93026ALAGOAS293.351.543115.57027ACRE7894.470127.781Total3.536211.755.69259.886Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,88,3.055.149,34.718,,,,,,,,,,,,,,,,,,
2,RORAIMA,15,631.181,42.079,,,,,,,,,,,,,,,,,,
3,SÃO PAULO,1.095,46.289.333,42.273,,,,,,,,,,,,,,,,,,
4,RIO DE JANEIRO,381,17.366.189,45.581,,,,,,,,,,,,,,,,,,
5,SANTA CATARINA,151,7.252.502,48.030,,,,,,,,,,,,,,,,,,
6,PARANÁ,226,11.516.840,50.959,,,,,,,,,,,,,,,,,,
7,ESPIRITO SANTO,74,4.064.052,54.920,,,,,,,,,,,,,,,,,,
8,AMAPÁ,15,861.773,57.452,,,,,,,,,,,,,,,,,,
9,AMAZONAS,72,4.207.714,58.440,,,,,,,,,,,,,,,,,,
10,RIO GRANDE DO SUL,193,11.422.973,59.186,,,,,,,,,,,,,,,,,,
11,GOIÁS,119,7.113.540,59.778,,,,,,,,,,,,,,,,,,
12,MATO GROSSO,53,3.526.220,66.532,,,,,,,,,,,,,,,,,,
13,MINAS GERAIS,286,21.292.666,74.450,,,,,,,,,,,,,,,,,,
14,RONDONIA,24,1.796.460,74.853,,,,,,,,,,,,,,,,,,
15,PERNAMBUCO,121,9.616.621,79.476,,,,,,,,,,,,,,,,,,
16,MATO GROSSO DO SUL,35,2.809.394,80.268,,,,,,,,,,,,,,,,,,
17,CEARÁ,113,9.187.103,81.302,,,,,,,,,,,,,,,,,,
18,TOCANTINS,19,1.590.248,83.697,,,,,,,,,,,,,,,,,,
19,SERGIPE,27,2.318.822,85.882,,,,,,,,,,,,,,,,,,
20,PARAIBA,45,4.039.277,89.762,,,,,,,,,,,,,,,,,,
21,PIAUI,34,3.281.480,96.514,,,,,,,,,,,,,,,,,,
22,PARÁ,85,8.690.745,102.244,,,,,,,,,,,,,,,,,,
23,RIO GRANDE DO NORTE,33,3.534.165,107.096,,,,,,,,,,,,,,,,,,
24,BAHIA,133,14.930.634,112.260,,,,,,,,,,,,,,,,,,
25,MARANHÃO,63,7.114.598,112.930,,,,,,,,,,,,,,,,,,
26,ALAGOAS,29,3.351.543,115.570,,,,,,,,,,,,,,,,,,
27,ACRE,7,894.470,127.781,,,,,,,,,,,,,,,,,,
,Total,3.536,211.755.692,59.886,,,,,,,,,,,,,,,,,,
Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2020 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
