0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2011  16. Média de habitantes por sala dos estados  estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL772.609.99833.8962SAO PAULO81041.587.18251.3423RIO DE JANEIRO29916.112.67853.8894SANTA CATARINA976.317.05465.1245PARANA15210.512.34969.1606RIO GRANDE DO SUL14910.733.03072.0347RORAIMA6460.16576.6948GOIAS796.080.71676.9719ESPIRITO SANTO443.547.05580.61510AMAZONAS413.538.38786.30211MINAS GERAIS19619.728.701100.65712MATO GROSSO DO SUL242.477.542103.23113ACRE7746.386106.62714MATO GROSSO273.075.936113.92415AMAPA6684.309114.05216RONDONIA121.576.455131.37117PERNAMBUCO608.864.906147.74818SERGIPE142.089.819149.27319PARAIBA253.791.315151.65320TOCANTINS91.400.892155.65521RIO GRANDE DO NORTE193.198.657168.35022BAHIA7514.097.534187.96723CEARA438.530.155198.37624ALAGOAS143.143.384224.52725PARA317.688.593248.01926PIAUI103.140.328314.03327MARANHAO206.645.761332.288Total2.346192.379.28782.003Fonte: Filme B Box Office /Pop: IBGE-estimativa 2011 - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2011,,,,,,,,,,,,,,,,,,,,,
,16. Média de habitantes por sala dos estados,,,,,,,,,,,,,,,,,,,,,
estadosalaspop. Estadohabitantes por sala1DISTRITO FEDERAL772.609.99833.8962SAO PAULO81041.587.18251.3423RIO DE JANEIRO29916.112.67853.8894SANTA CATARINA976.317.05465.1245PARANA15210.512.34969.1606RIO GRANDE DO SUL14910.733.03072.0347RORAIMA6460.16576.6948GOIAS796.080.71676.9719ESPIRITO SANTO443.547.05580.61510AMAZONAS413.538.38786.30211MINAS GERAIS19619.728.701100.65712MATO GROSSO DO SUL242.477.542103.23113ACRE7746.386106.62714MATO GROSSO273.075.936113.92415AMAPA6684.309114.05216RONDONIA121.576.455131.37117PERNAMBUCO608.864.906147.74818SERGIPE142.089.819149.27319PARAIBA253.791.315151.65320TOCANTINS91.400.892155.65521RIO GRANDE DO NORTE193.198.657168.35022BAHIA7514.097.534187.96723CEARA438.530.155198.37624ALAGOAS143.143.384224.52725PARA317.688.593248.01926PIAUI103.140.328314.03327MARANHAO206.645.761332.288Total2.346192.379.28782.003Fonte: Filme B Box Office /Pop: IBGE-estimativa 2011 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,estado,salas,pop. Estado,habitantes por sala,,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,77,2.609.998,33.896,,,,,,,,,,,,,,,,,,
2,SAO PAULO,810,41.587.182,51.342,,,,,,,,,,,,,,,,,,
3,RIO DE JANEIRO,299,16.112.678,53.889,,,,,,,,,,,,,,,,,,
