0,1,2
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas
São Paulo,85,590
Rio de Janeiro,28,181
Minas Gerais,18,110
Paraná,17,98
Rio Grande do Sul,12,71
Distrito Federal,9,66
Santa Catarina,10,56
Bahia,6,46
Pernambuco,6,45
Amazonas,5,40
Goiás,7,40
Espirito Santo,4,25
Ceará,3,24
Pará,4,23
Paraiba,4,23
Rio Grande do Norte,3,19
Maranhão,2,16
Mato Grosso,2,16
Mato Grosso do Sul,2,16
Sergipe,2,14
Alagoas,2,11
Tocantins,1,6
Rondonia,1,5
Piauí,1,5
Acre,1,4
Total,235,1.550
