0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,129,863,"32,70%"
RIO DE JANEIRO,49,299,"11,30%"
MINAS GERAIS,33,190,"7,20%"
PARANÁ,26,149,"5,60%"
RIO GRANDE DO SUL,22,124,"4,70%"
SANTA CATARINA,20,107,"4,10%"
PERNAMBUCO,15,101,"3,80%"
GOIÁS,15,82,"3,10%"
BAHIA,14,86,"3,30%"
CEARÁ,13,79,"3,00%"
DISTRITO FEDERAL,12,83,"3,10%"
PARÁ,10,61,"2,30%"
ESPIRITO SANTO,10,55,"2,10%"
AMAZONAS,9,68,"2,60%"
MARANHÃO,9,51,"1,90%"
MATO GROSSO,5,36,"1,40%"
PARAÍBA,5,31,"1,20%"
RIO GRANDE DO NORTE,5,31,"1,20%"
PIAUÍ,4,27,"1,00%"
ALAGOAS,4,26,"1,00%"
SERGIPE,4,22,"0,80%"
MATO GROSSO DO SUL,3,23,"0,90%"
AMAPÁ,2,13,"0,50%"
TOCANTINS,2,11,"0,40%"
RORAIMA,2,9,"0,30%"
ACRE,1,6,"0,20%"
RONDÔNIA,1,6,"0,20%"
Total,424,2.639,
