0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Comentário  Database Brasil 2005  14. Ranking dos municípios por nº salas  minicípioUFn° salas1SAO PAULOSP2492RIO DE JANEIRORJ1563BRASILIADF674BELO HORIZONTEMG665CURITIBAPR576PORTO ALEGRERS567CAMPINASSP518SALVADORBA369RECIFEPE3110GOIANIAGO3011FORTALEZACE2812RIBEIRAO PRETOSP2713MANAUSAM2214SOROCABASP1915NITEROIRJ1816CUIABAMT1817JOAO PESSOAPB1818SANTOSSP1719BELEMPA1720SAO LUISMA1621GUARULHOSSP1522SANTO ANDRESP1523SAO JOSE DOS CAMPOSSP1524ARACAJUSE1425SAO BERNARDO DO CAMPOSP1326CAMPO GRANDEMS1327UBERLANDIAMG1328JABOATAOPE1229TAGUATINGADF1130UBERABAMG1131VITORIAES1032CONTAGEMMG1033PRAIA GRANDESP1034CAXIAS DO SULRS1035ARARAQUARASP1036OSASCOSP1037BARUERISP938LONDRINAPR939SAO JOSE DO RIO PRETOSP940VILA VELHAES941MARINGAPR942JUIZ DE FORAMG943SAO GONCALORJ944PONTA GROSSAPR945MARILIASP946POCOS DE CALDASMG947TERESINAPI848NATALRN749JUNDIAISP750CANOASRS751NOVO HAMBURGORS752PRESIDENTE PRUDENTESP753PETROPOLISRJ754MACAPAAP755PIRACICABASP656MACEIOAL657BLUMENAUSC658SAO JOAO DE MERITIRJ659APARECIDA DE GOIANIAGO660VOLTA REDONDARJ661CASCAVELPR662GUARAPARIES663GUARATINGUETASP664FLORIANOPOLISSC565TABOAO DA SERRASP566JOINVILLESC567MAUASP568NOVA IGUACURJ569FEIRA DE SANTANABA570SUZANOSP571SAO LEOPOLDORS572JACAREISP573ITUSP574INDAIATUBASP575RIO CLAROSP576DUQUE DE CAXIASRJ577PELOTASRS578GUARUJASP579BENTO GONCALVESRS580PINDAMONHANGABASP581NOVA LIMAMG582BAURUSP483SANTA BARBARA D'OESTESP484MOGI DAS CRUZESSP485TAUBATESP486SAO CARLOSSP487FOZ DO IGUACUPR488IPATINGAMG489LIMEIRASP490SANTA MARIARS491CAMPINA GRANDEPB492SERRAES493PASSO FUNDORS494RESENDERJ495CRICIUMASC496GOVERNADOR VALADARESMG497SANTA CRUZ DO SULRS498CARUARUPE499CAPAO DA CANOARS4100SAO JOSESC4101ÁGUAS CLARASDF4102FRANCASP3103NOVA FRIBURGORJ3104BETIMMG3105MONTES CLAROSMG3106BALNEARIO DE CAMBORIUSC3107JARAGUA DO SULSC3108RONDONOPOLISMT3109NILOPOLISRJ3110PORTO VELHORO3111JAUSP3112ANAPOLISGO3113DOURADOSMS3114BRUSQUESC3115VARGINHAMG3116SETE LAGOASMG3117COSMOPOLISSP3118PALMAS DO TOCANTINSTO3119GUARAPUAVAPR3120TUBARAOSC3121LINHARESES3122APUCARANAPR3123ITUMBIARAGO3124BOA VISTARR3125MOGI-MIRIMSP3126ASSISSP3249GRAMADORS1250TAQUARITINGASP1251ANDRADASMG1252ARACRUZES1253JOACABASC1254LEOPOLDINAMG1255ARAXAMG1256CACOALRO1257PASSOSMG1258CACAPAVASP1259BIRIGUISP1260UMUARAMAPR1261SANTA FE DO SULSP1262LAURO DE FREITASBA1263VOTUPORANGASP1264PENAPOLISSP1265AVARESP1266CAMBUIMG1267CONSELHEIRO LAFAIETEMG1268TRES RIOSRJ1269CASA BRANCASP1270VALENCARJ1271ANDRADINASP1272ITAPEVASP1273SERRA NEGRASP1274SAO JOSE DO RIO PARDOSP1275MONTENEGRORS1276JATAIGO1277CACERESMT1278JAGUARIUNASP1279ITAJUBAMG1280MOGI-GUACUSP1281BARIRISP1282CALDAS NOVASGO1283SANTO ANGELORS1284BRUMADOBA1285GUAXUPEMG1286DESCALVADOSP1287IJUIRS1288ITAPERUNARJ1289IMPERATRIZMA1290VICOSAMG1291CIANORTEPR1292TRES LAGOASMS1293OLIMPIASP1294BERTIOGASP1295CAMPO BELOMG1296CATAGUASESMG1297SAO MANUELSP1298DRACENASP1299VACARIARS1300IVAIPORAPR1301CORNELIO PROCOPIOPR1302FRANCO DA ROCHASP1303PORTO FERREIRASP1304BOM JESUS DO ITABAPOANARJ1305PARANAVAIPR1306SOCORROSP1307SORRISOMT1308SAO SEBASTIAO DO PARAISOMG1309ITUIUTABAMG1310SANTA CRUZ DAS PALMEIRASSP1311NOVA SERRANAMG1312VILHENARO1313ITABIRAMG1314CAMPOS DO JORDAOSP1315MACHADOMG1316MURIAEMG1317CAPIVARISP1318NAVIRAIMS1319MONTE ALTOSP1320ARMACAO DOS BUZIOSRJ1321IBIUNASP1322ALFENASMG1323ESPIRITO SANTO DO PINHALSP1324CONCORDIASC1325TIETESP1326CARAZINHORS1327SANTAREMPA1328ALEGREES1329RIBEIRAO PIRESSP1330TAQUARARS1331JALESSP1332ANCHIETAES1333ARAPONGASPR1334CANELARS1335PRESIDENTE VENCESLAUSP1336REGISTROSP1337GUARIBASP1338PARACATUMG1339VARGEM GRANDE DO SULSP1340ARAGUARIMG1341MARIALVAPR1342CAMAQUARS1343SANTA ROSARS1344IBITINGASP1345ITAPIPOCACE1346GRAVATAIRS1347PEDRO LEOPOLDOMG1348MIGUEL PEREIRARJ1349SAO PEDROSP1350URUGUAIANARS1351ALEGRETERS1352TORRESRS1353IRATIPR1354BANDEIRANTESPR1355ITABERAIGO1356LUZIANIAGO1357SAO MATEUSES1358ALTAMIRAPA1359CASTELOES1360PORTO FELIZSP1361BARRA BONITASP1362OSVALDO CRUZSP1363ITUVERAVASP1364PIRAJUISP1365PEDERNEIRASSP1366MANTENAMG1367GOIATUBAGO1368VIAMAORS1369AFOGADOS DA INGAZEIRAPE1370TUPASP1371GURUPITO1372JACAREZINHOPR1373BAGERS1374ALTINOPOLISSP1375IBIPORAPR1376CARMO DO RIO CLAROMG1377CERESGO1378LAMBARIMG1379IPIRABA1380PIRENOPOLISGO1381GUAIRASP1382BARRA DO GARCASMT1127AMPAROSP3383SANTANA DO LIVRAMENTORS1128LAGESSC3384ORLANDIASP1129OURINHOSSP3385IGARAPAVASP1130ANGRA DOS REISRJ3386CAMPESTREMG1131ITAPEMASC3387DOIS CORREGOSSP1132BARBACENAMG3388RIO NEGROPR1133MONGAGUASP3389MAFRASC1134JABOTICABALSP3390TRES PASSOSRS1135SAO BENTO DO SULSC3391CARLOS BARBOSARS1136TUCURUIPA3392MIRASSOLSP1137PARANAGUAPR3393JEQUIEBA1138SOBRADINHODF3394TRES COROASRS1139AMERICANASP2395ARARANGUASC1140ARACATUBASP2396MIGUELOPOLISSP1141PETROLINAPE2397AGUAS DE LINDOIASP1142ITABUNABA2398CURVELOMG1143JUAZEIRO DO NORTECE2399SANTA CRUZ DO RIO PARDOSP1144CABO FRIORJ2400PARA DE MINASMG1145CACHOEIRINHARS2401SANTA RITA DO SAPUCAIMG1146CACHOEIRO DE ITAPEMIRIMES2402ITAMARAJUBA1147ITAJAISC2403RIO DO SULSC1148TERESOPOLISRJ2404ARROIO DO SALRS1149MARACANAUCE2405ADAMANTINASP1150CAMPOSRJ2406SAO BORJARS1151BARRA MANSARJ2407FRANCISCO MORATOSP1152MACAERJ2408SAO FRANCISCO DO SULSC1153TATUISP2409MORRINHOSGO1154UBATUBASP2410BOMBINHASSC1155ITAPETININGASP2411PARACAMBIRJ1156DIVINOPOLISMG2412APARECIDASP1157ITAPEVISP2413FRUTALMG1158ILHEUSBA2414FARROUPILHARS1159SAO ROQUESP2415OURO FINOMG1160PATOS DE MINASMG2416CHOPINZINHOPR1161PERUIBESP2417ITAPOLISSP1162ARARUAMARJ2418POMPEIASP1163LORENASP2419EUNAPOLISBA1164TRES CORACOESMG2420SERTAOZINHOSP1165CHAPECOSC2421IGUATUPR1166ITANHAEMSP2422GUARARAPESSP1167LAVRASMG2423GUARABIRAPB1168SUMARESP2424MANHUACUMG1169SAO SEBASTIAOSP2425ASTORGAPR1170RIO BRANCOAC2426PATO BRANCOPR1171LAJEADORS2427BOCAINASP1172TEIXEIRA DE FREITASBA2428TIMBOSC1173VALPARAISOGO2429BARREIRASBA1174BARRETOSSP2430MEDIANEIRAPR1175VITORIA DA CONQUISTABA2431PORTO BELOSC1176ITATIBASP2432SOUSAPB1177ARARASSP2433SANTO ANTONIO DA PLATINAPR1178CATANDUVASP2434SAPIRANGARS1179POUSO ALEGREMG2435RAPOSOSMG1180SOBRALCE2436ANDIRAPR1181SANTO ANTONIO DE JESUSBA2437MAMANGUAPEPB1182RIO GRANDERS2438POMERODESC1183GAMADF2439GUAPORERS1184JI-PARANARO2440GARCASP1185TANGARA DA SERRAMT2441MORRETESPR1186CAMPO MOURAOPR2442CORONEL VIVIDAPR1187LINSSP2443CONGONHASMG1188SAO CAETANO DO SULSP2444CAPITAO LEONIDAS MARQUESPR1189LENCOIS PAULISTASP2445GUARATUBAPR1190FERNANDOPOLISSP2446IGUATUCE1191BELFORD ROXORJ2447RIBEIRAO DO PINHALPR1192ITAPIRASP2448NAZAREBA1193SINOPMT2449LOANDAPR1194CAMACARIBA2450VALENCABA1195ARAGUAINATO2451ARCOVERDEPE1196CATALAOGO2452CURITIBANOSSC1197UBAMG2453ILHA SOLTEIRASP1198PATOSPB2454RIO POMBAMG1199ARRAIAL DO CABORJ2200FRANCISCO BELTRAOPR2201CRUZ ALTARS2202BATATAISSP2203SALTOSP2204LAGOA SANTAMG2205TRAMANDAIRS2206MOSSORORN2207SAO VICENTESP2208FORMOSAGO2209VALINHOSSP2210PIRASSUNUNGASP2211NOVA PETROPOLISRS2212PALOTINAPR2213GARANHUNSPE2214REDENCAOPA2215TUPACIGUARAMG2216NAVEGANTESSC2217EMBUSP2218GUAIRAPR2219MIMOSO DO SULES2220BOTUCATUSP1221SAO JOAO DA BOA VISTASP1222BRAGANCA PAULISTASP1223ATIBAIASP1224COLATINAES1225SAO JOAO DEL REYMG1226ERECHIMRS1227MOCOCASP1228RIO VERDEGO1229CARAGUATATUBASP1230SAO LOURENCOMG1231PRIMAVERA DO LESTEMT1232LEMESP1233CRUZEIROSP1234BOITUVASP1235MATAOSP1236BEBEDOUROSP1237OURO PRETOMG1238ALAGOINHASBA1239PEDREIRASP1240PATROCINIOMG1241ARUJASP1242TOLEDOPR1243TEOFILO OTONIMG1244ARIQUEMESRO1245PIRAJUSP1246UNIAO DA VITORIAPR1247CARATINGAMG1248CAXAMBUMG1Fonte: Base de dados SDRJ - Pesquisa: Filme B  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,Comentário,,,,,,,,,,,
,Database Brasil 2005,,,,,,,,,,,,,,,,,,,,,
,14. Ranking dos municípios por nº salas,,,,,,,,,,,,,,,,,,,,,
minicípioUFn° salas1SAO PAULOSP2492RIO DE JANEIRORJ1563BRASILIADF674BELO HORIZONTEMG665CURITIBAPR576PORTO ALEGRERS567CAMPINASSP518SALVADORBA369RECIFEPE3110GOIANIAGO3011FORTALEZACE2812RIBEIRAO PRETOSP2713MANAUSAM2214SOROCABASP1915NITEROIRJ1816CUIABAMT1817JOAO PESSOAPB1818SANTOSSP1719BELEMPA1720SAO LUISMA1621GUARULHOSSP1522SANTO ANDRESP1523SAO JOSE DOS CAMPOSSP1524ARACAJUSE1425SAO BERNARDO DO CAMPOSP1326CAMPO GRANDEMS1327UBERLANDIAMG1328JABOATAOPE1229TAGUATINGADF1130UBERABAMG1131VITORIAES1032CONTAGEMMG1033PRAIA GRANDESP1034CAXIAS DO SULRS1035ARARAQUARASP1036OSASCOSP1037BARUERISP938LONDRINAPR939SAO JOSE DO RIO PRETOSP940VILA VELHAES941MARINGAPR942JUIZ DE FORAMG943SAO GONCALORJ944PONTA GROSSAPR945MARILIASP946POCOS DE CALDASMG947TERESINAPI848NATALRN749JUNDIAISP750CANOASRS751NOVO HAMBURGORS752PRESIDENTE PRUDENTESP753PETROPOLISRJ754MACAPAAP755PIRACICABASP656MACEIOAL657BLUMENAUSC658SAO JOAO DE MERITIRJ659APARECIDA DE GOIANIAGO660VOLTA REDONDARJ661CASCAVELPR662GUARAPARIES663GUARATINGUETASP664FLORIANOPOLISSC565TABOAO DA SERRASP566JOINVILLESC567MAUASP568NOVA IGUACURJ569FEIRA DE SANTANABA570SUZANOSP571SAO LEOPOLDORS572JACAREISP573ITUSP574INDAIATUBASP575RIO CLAROSP576DUQUE DE CAXIASRJ577PELOTASRS578GUARUJASP579BENTO GONCALVESRS580PINDAMONHANGABASP581NOVA LIMAMG582BAURUSP483SANTA BARBARA D'OESTESP484MOGI DAS CRUZESSP485TAUBATESP486SAO CARLOSSP487FOZ DO IGUACUPR488IPATINGAMG489LIMEIRASP490SANTA MARIARS491CAMPINA GRANDEPB492SERRAES493PASSO FUNDORS494RESENDERJ495CRICIUMASC496GOVERNADOR VALADARESMG497SANTA CRUZ DO SULRS498CARUARUPE499CAPAO DA CANOARS4100SAO JOSESC4101ÁGUAS CLARASDF4102FRANCASP3103NOVA FRIBURGORJ3104BETIMMG3105MONTES CLAROSMG3106BALNEARIO DE CAMBORIUSC3107JARAGUA DO SULSC3108RONDONOPOLISMT3109NILOPOLISRJ3110PORTO VELHORO3111JAUSP3112ANAPOLISGO3113DOURADOSMS3114BRUSQUESC3115VARGINHAMG3116SETE LAGOASMG3117COSMOPOLISSP3118PALMAS DO TOCANTINSTO3119GUARAPUAVAPR3120TUBARAOSC3121LINHARESES3122APUCARANAPR3123ITUMBIARAGO3124BOA VISTARR3125MOGI-MIRIMSP3126ASSISSP3249GRAMADORS1250TAQUARITINGASP1251ANDRADASMG1252ARACRUZES1253JOACABASC1254LEOPOLDINAMG1255ARAXAMG1256CACOALRO1257PASSOSMG1258CACAPAVASP1259BIRIGUISP1260UMUARAMAPR1261SANTA FE DO SULSP1262LAURO DE FREITASBA1263VOTUPORANGASP1264PENAPOLISSP1265AVARESP1266CAMBUIMG1267CONSELHEIRO LAFAIETEMG1268TRES RIOSRJ1269CASA BRANCASP1270VALENCARJ1271ANDRADINASP1272ITAPEVASP1273SERRA NEGRASP1274SAO JOSE DO RIO PARDOSP1275MONTENEGRORS1276JATAIGO1277CACERESMT1278JAGUARIUNASP1279ITAJUBAMG1280MOGI-GUACUSP1281BARIRISP1282CALDAS NOVASGO1283SANTO ANGELORS1284BRUMADOBA1285GUAXUPEMG1286DESCALVADOSP1287IJUIRS1288ITAPERUNARJ1289IMPERATRIZMA1290VICOSAMG1291CIANORTEPR1292TRES LAGOASMS1293OLIMPIASP1294BERTIOGASP1295CAMPO BELOMG1296CATAGUASESMG1297SAO MANUELSP1298DRACENASP1299VACARIARS1300IVAIPORAPR1301CORNELIO PROCOPIOPR1302FRANCO DA ROCHASP1303PORTO FERREIRASP1304BOM JESUS DO ITABAPOANARJ1305PARANAVAIPR1306SOCORROSP1307SORRISOMT1308SAO SEBASTIAO DO PARAISOMG1309ITUIUTABAMG1310SANTA CRUZ DAS PALMEIRASSP1311NOVA SERRANAMG1312VILHENARO1313ITABIRAMG1314CAMPOS DO JORDAOSP1315MACHADOMG1316MURIAEMG1317CAPIVARISP1318NAVIRAIMS1319MONTE ALTOSP1320ARMACAO DOS BUZIOSRJ1321IBIUNASP1322ALFENASMG1323ESPIRITO SANTO DO PINHALSP1324CONCORDIASC1325TIETESP1326CARAZINHORS1327SANTAREMPA1328ALEGREES1329RIBEIRAO PIRESSP1330TAQUARARS1331JALESSP1332ANCHIETAES1333ARAPONGASPR1334CANELARS1335PRESIDENTE VENCESLAUSP1336REGISTROSP1337GUARIBASP1338PARACATUMG1339VARGEM GRANDE DO SULSP1340ARAGUARIMG1341MARIALVAPR1342CAMAQUARS1343SANTA ROSARS1344IBITINGASP1345ITAPIPOCACE1346GRAVATAIRS1347PEDRO LEOPOLDOMG1348MIGUEL PEREIRARJ1349SAO PEDROSP1350URUGUAIANARS1351ALEGRETERS1352TORRESRS1353IRATIPR1354BANDEIRANTESPR1355ITABERAIGO1356LUZIANIAGO1357SAO MATEUSES1358ALTAMIRAPA1359CASTELOES1360PORTO FELIZSP1361BARRA BONITASP1362OSVALDO CRUZSP1363ITUVERAVASP1364PIRAJUISP1365PEDERNEIRASSP1366MANTENAMG1367GOIATUBAGO1368VIAMAORS1369AFOGADOS DA INGAZEIRAPE1370TUPASP1371GURUPITO1372JACAREZINHOPR1373BAGERS1374ALTINOPOLISSP1375IBIPORAPR1376CARMO DO RIO CLAROMG1377CERESGO1378LAMBARIMG1379IPIRABA1380PIRENOPOLISGO1381GUAIRASP1382BARRA DO GARCASMT1127AMPAROSP3383SANTANA DO LIVRAMENTORS1128LAGESSC3384ORLANDIASP1129OURINHOSSP3385IGARAPAVASP1130ANGRA DOS REISRJ3386CAMPESTREMG1131ITAPEMASC3387DOIS CORREGOSSP1132BARBACENAMG3388RIO NEGROPR1133MONGAGUASP3389MAFRASC1134JABOTICABALSP3390TRES PASSOSRS1135SAO BENTO DO SULSC3391CARLOS BARBOSARS1136TUCURUIPA3392MIRASSOLSP1137PARANAGUAPR3393JEQUIEBA1138SOBRADINHODF3394TRES COROASRS1139AMERICANASP2395ARARANGUASC1140ARACATUBASP2396MIGUELOPOLISSP1141PETROLINAPE2397AGUAS DE LINDOIASP1142ITABUNABA2398CURVELOMG1143JUAZEIRO DO NORTECE2399SANTA CRUZ DO RIO PARDOSP1144CABO FRIORJ2400PARA DE MINASMG1145CACHOEIRINHARS2401SANTA RITA DO SAPUCAIMG1146CACHOEIRO DE ITAPEMIRIMES2402ITAMARAJUBA1147ITAJAISC2403RIO DO SULSC1148TERESOPOLISRJ2404ARROIO DO SALRS1149MARACANAUCE2405ADAMANTINASP1150CAMPOSRJ2406SAO BORJARS1151BARRA MANSARJ2407FRANCISCO MORATOSP1152MACAERJ2408SAO FRANCISCO DO SULSC1153TATUISP2409MORRINHOSGO1154UBATUBASP2410BOMBINHASSC1155ITAPETININGASP2411PARACAMBIRJ1156DIVINOPOLISMG2412APARECIDASP1157ITAPEVISP2413FRUTALMG1158ILHEUSBA2414FARROUPILHARS1159SAO ROQUESP2415OURO FINOMG1160PATOS DE MINASMG2416CHOPINZINHOPR1161PERUIBESP2417ITAPOLISSP1162ARARUAMARJ2418POMPEIASP1163LORENASP2419EUNAPOLISBA1164TRES CORACOESMG2420SERTAOZINHOSP1165CHAPECOSC2421IGUATUPR1166ITANHAEMSP2422GUARARAPESSP1167LAVRASMG2423GUARABIRAPB1168SUMARESP2424MANHUACUMG1169SAO SEBASTIAOSP2425ASTORGAPR1170RIO BRANCOAC2426PATO BRANCOPR1171LAJEADORS2427BOCAINASP1172TEIXEIRA DE FREITASBA2428TIMBOSC1173VALPARAISOGO2429BARREIRASBA1174BARRETOSSP2430MEDIANEIRAPR1175VITORIA DA CONQUISTABA2431PORTO BELOSC1176ITATIBASP2432SOUSAPB1177ARARASSP2433SANTO ANTONIO DA PLATINAPR1178CATANDUVASP2434SAPIRANGARS1179POUSO ALEGREMG2435RAPOSOSMG1180SOBRALCE2436ANDIRAPR1181SANTO ANTONIO DE JESUSBA2437MAMANGUAPEPB1182RIO GRANDERS2438POMERODESC1183GAMADF2439GUAPORERS1184JI-PARANARO2440GARCASP1185TANGARA DA SERRAMT2441MORRETESPR1186CAMPO MOURAOPR2442CORONEL VIVIDAPR1187LINSSP2443CONGONHASMG1188SAO CAETANO DO SULSP2444CAPITAO LEONIDAS MARQUESPR1189LENCOIS PAULISTASP2445GUARATUBAPR1190FERNANDOPOLISSP2446IGUATUCE1191BELFORD ROXORJ2447RIBEIRAO DO PINHALPR1192ITAPIRASP2448NAZAREBA1193SINOPMT2449LOANDAPR1194CAMACARIBA2450VALENCABA1195ARAGUAINATO2451ARCOVERDEPE1196CATALAOGO2452CURITIBANOSSC1197UBAMG2453ILHA SOLTEIRASP1198PATOSPB2454RIO POMBAMG1199ARRAIAL DO CABORJ2200FRANCISCO BELTRAOPR2201CRUZ ALTARS2202BATATAISSP2203SALTOSP2204LAGOA SANTAMG2205TRAMANDAIRS2206MOSSORORN2207SAO VICENTESP2208FORMOSAGO2209VALINHOSSP2210PIRASSUNUNGASP2211NOVA PETROPOLISRS2212PALOTINAPR2213GARANHUNSPE2214REDENCAOPA2215TUPACIGUARAMG2216NAVEGANTESSC2217EMBUSP2218GUAIRAPR2219MIMOSO DO SULES2220BOTUCATUSP1221SAO JOAO DA BOA VISTASP1222BRAGANCA PAULISTASP1223ATIBAIASP1224COLATINAES1225SAO JOAO DEL REYMG1226ERECHIMRS1227MOCOCASP1228RIO VERDEGO1229CARAGUATATUBASP1230SAO LOURENCOMG1231PRIMAVERA DO LESTEMT1232LEMESP1233CRUZEIROSP1234BOITUVASP1235MATAOSP1236BEBEDOUROSP1237OURO PRETOMG1238ALAGOINHASBA1239PEDREIRASP1240PATROCINIOMG1241ARUJASP1242TOLEDOPR1243TEOFILO OTONIMG1244ARIQUEMESRO1245PIRAJUSP1246UNIAO DA VITORIAPR1247CARATINGAMG1248CAXAMBUMG1Fonte: Base de dados SDRJ - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,,,,,
,minicípio,UF,n° salas,,,,,,,,,,,,,,,,,,,
1,SAO PAULO,SP,249,,,,,,,,,,,,,,,,,,,
2,RIO DE JANEIRO,RJ,156,,,,,,,,,,,,,,,,,,,
