0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,128,852,"33,5%"
RIO DE JANEIRO,47,281,"11,0%"
MINAS GERAIS,32,184,"7,2%"
PARANÁ,25,146,"5,7%"
RIO GRANDE DO SUL,21,121,"4,8%"
SANTA CATARINA,17,95,"3,7%"
PERNAMBUCO,13,86,"3,4%"
DISTRITO FEDERAL,12,83,"3,3%"
GOIÁS,15,82,"3,2%"
BAHIA,13,81,"3,2%"
CEARÁ,13,79,"3,1%"
AMAZONAS,9,68,"2,7%"
MARANHÃO,9,53,"2,1%"
ESPIRITO SANTO,9,52,"2,0%"
PARÁ,9,51,"2,0%"
PARAÍBA,5,31,"1,2%"
RIO GRANDE DO NORTE,5,31,"1,2%"
MATO GROSSO,4,29,"1,1%"
ALAGOAS,4,26,"1,0%"
MATO GROSSO DO SUL,3,23,"0,9%"
PIAUÍ,3,23,"0,9%"
SERGIPE,4,22,"0,9%"
AMAPÁ,2,13,"0,5%"
TOCANTINS,2,11,"0,4%"
RORAIMA,2,9,"0,4%"
ACRE,1,6,"0,2%"
RONDÔNIA,1,6,"0,2%"
Total,408,2.544,
