0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Comentário  Database Brasil 2004  14. Ranking dos municípios por nº salas (200 maiores mercados)  minicípioUFn° salas1SAO PAULOSP2342RIO DE JANEIRORJ1493BRASILIADF774PORTO ALEGRERS655BELO HORIZONTEMG656CURITIBAPR537CAMPINASSP518SALVADORBA369GOIANIAGO3110RECIFEPE3011RIBEIRAO PRETOSP2912FORTALEZACE2713NITEROIRJ1814SAO JOSE DOS CAMPOSSP1815SOROCABASP1816JOAO PESSOAPB1817CUIABAMT1718MANAUSAM1619SAO LUISMA1620SANTOSSP1521GUARULHOSSP1522BELEMPA1523SANTO ANDRESP1524ARACAJUSE1425UBERLANDIAMG1426MARINGAPR1427SAO BERNARDO DO CAMPOSP1328CAMPO GRANDEMS1229JABOATAOPE1230LONDRINAPR1131PRAIA GRANDESP1132SAO JOSE DO RIO PRETOSP1033VILA VELHAES1034ARARAQUARASP1035UBERABAMG1036BARUERISP937NATALRN938JUNDIAISP939JUIZ DE FORAMG940PONTA GROSSAPR941SAO GONCALORJ942TERESINAPI943VITORIAES844FLORIANOPOLISSC845CAXIAS DO SULRS846VITORIA DA CONQUISTABA847CANOASRS748JOINVILLESC749SAO JOAO DE MERITIRJ750NOVO HAMBURGORS751PRESIDENTE PRUDENTESP752PETROPOLISRJ753CASCAVELPR754PIRACICABASP655BLUMENAUSC656MACEIOAL657NOVA IGUACURJ658FEIRA DE SANTANABA659VOLTA REDONDARJ660APARECIDA DE GOIANIAGO661SERRAES662TABOAO DA SERRASP563MAUASP564OSASCOSP565SUZANOSP566DUQUE DE CAXIASRJ567ITUSP568INDAIATUBASP569RIO CLAROSP570PELOTASRS571JACAREISP572POCOS DE CALDASMG573MACAPAAP574BENTO GONCALVESRS575CONTAGEMMG476BAURUSP477MOGI DAS CRUZESSP478SANTA BARBARA D'OESTESP479SANTA MARIARS480SAO CARLOSSP481LIMEIRASP482IPATINGAMG483PASSO FUNDORS484CAMPINA GRANDEPB485MONTES CLAROSMG486ITABUNABA487CRICIUMASC488CACHOEIRO DE ITAPEMIRIMES489GOVERNADOR VALADARESMG490GUARAPARIES491ITAPETININGASP492CARUARUPE493FRANCASP394MARILIASP395NOVA FRIBURGORJ396FOZ DO IGUACUPR397JARAGUA DO SULSC398RESENDERJ399NILOPOLISRJ3100PORTO VELHORO3101RONDONOPOLISMT3102BETIMMG3103JAUSP3104TERESOPOLISRJ3105DOURADOSMS3106SANTA CRUZ DO SULRS3107VARGINHAMG3108TATUISP3109COSMOPOLISSP3110PINDAMONHANGABASP3111ASSISSP3112TUBARAOSC3113CHAPECOSC3114ITUMBIARAGO3115PALMAS DO TOCANTINSTO3116OURINHOSSP3117LINHARESES3118PERUIBESP3119BOA VISTARR3120LAGESSC3121AMPAROSP3122SETE LAGOASMG3123CAPAO DA CANOARS3124ITAPEMASC3125TAUBATESP2126ARACATUBASP2127BALNEARIO DE CAMBORIUSC2128PETROLINAPE2129CABO FRIORJ2130CACHOEIRINHARS2131ITAJAISC2132ANAPOLISGO2133JUAZEIRO DO NORTECE2134VALPARAISOGO2135CAMPOSRJ2136BARRA MANSARJ2137ARARUAMARJ2138ILHEUSBA2139SAO ROQUESP2140ITAPEVISP2141MACAERJ2142PATOS DE MINASMG2143SAO VICENTESP2144LAVRASMG2145AMERICANASP2146UBATUBASP2147LAJEADORS2148APUCARANAPR2149DIVINOPOLISMG2150SANTO ANTONIO DE JESUSBA2151TEIXEIRA DE FREITASBA2152SUMARESP2153TRES CORACOESMG2154MOGI-MIRIMSP2155ITATIBASP2156RIO BRANCOAC2157BELFORD ROXORJ2158BARRETOSSP2159BARBACENAMG2160RIO GRANDERS2161SAO SEBASTIAOSP2162TANGARA DA SERRAMT2163POUSO ALEGREMG2164CAMACARIBA2165SAO CAETANO DO SULSP2166CRUZ ALTARS2167FERNANDOPOLISSP2168SOBRALCE2169ITAPIRASP2170ANGRA DOS REISRJ2171GUARUJASP2172CATANDUVASP2173RIO VERDEGO2174BOTUCATUSP1175SAO JOAO DEL REYMG1176SAO JOAO DA BOA VISTASP1177LORENASP1178ERECHIMRS1179BRUSQUESC1180GUARATINGUETASP1181ATIBAIASP1182BRAGANCA PAULISTASP1183MATAOSP1184PRIMAVERA DO LESTEMT1185JI-PARANARO1186ARARASSP1187ITABIRAMG1188COLATINAES1189ALAGOINHASBA1190TOLEDOPR1191CATAGUASESMG1192TEOFILO OTONIMG1193BEBEDOUROSP1194JOACABASC1195ARUJASP1196CARAGUATATUBASP1197LINSSP1198MOCOCASP1199CARATINGAMG1200ARIQUEMESRO1Pesquisa: www.filmeb.com.br  Topo da página  © Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,Comentário,,,,,,,,,,,
,Database Brasil 2004,,,,,,,,,,,,,,,,,,,,,
,14. Ranking dos municípios por nº salas (200 maiores mercados),,,,,,,,,,,,,,,,,,,,,
minicípioUFn° salas1SAO PAULOSP2342RIO DE JANEIRORJ1493BRASILIADF774PORTO ALEGRERS655BELO HORIZONTEMG656CURITIBAPR537CAMPINASSP518SALVADORBA369GOIANIAGO3110RECIFEPE3011RIBEIRAO PRETOSP2912FORTALEZACE2713NITEROIRJ1814SAO JOSE DOS CAMPOSSP1815SOROCABASP1816JOAO PESSOAPB1817CUIABAMT1718MANAUSAM1619SAO LUISMA1620SANTOSSP1521GUARULHOSSP1522BELEMPA1523SANTO ANDRESP1524ARACAJUSE1425UBERLANDIAMG1426MARINGAPR1427SAO BERNARDO DO CAMPOSP1328CAMPO GRANDEMS1229JABOATAOPE1230LONDRINAPR1131PRAIA GRANDESP1132SAO JOSE DO RIO PRETOSP1033VILA VELHAES1034ARARAQUARASP1035UBERABAMG1036BARUERISP937NATALRN938JUNDIAISP939JUIZ DE FORAMG940PONTA GROSSAPR941SAO GONCALORJ942TERESINAPI943VITORIAES844FLORIANOPOLISSC845CAXIAS DO SULRS846VITORIA DA CONQUISTABA847CANOASRS748JOINVILLESC749SAO JOAO DE MERITIRJ750NOVO HAMBURGORS751PRESIDENTE PRUDENTESP752PETROPOLISRJ753CASCAVELPR754PIRACICABASP655BLUMENAUSC656MACEIOAL657NOVA IGUACURJ658FEIRA DE SANTANABA659VOLTA REDONDARJ660APARECIDA DE GOIANIAGO661SERRAES662TABOAO DA SERRASP563MAUASP564OSASCOSP565SUZANOSP566DUQUE DE CAXIASRJ567ITUSP568INDAIATUBASP569RIO CLAROSP570PELOTASRS571JACAREISP572POCOS DE CALDASMG573MACAPAAP574BENTO GONCALVESRS575CONTAGEMMG476BAURUSP477MOGI DAS CRUZESSP478SANTA BARBARA D'OESTESP479SANTA MARIARS480SAO CARLOSSP481LIMEIRASP482IPATINGAMG483PASSO FUNDORS484CAMPINA GRANDEPB485MONTES CLAROSMG486ITABUNABA487CRICIUMASC488CACHOEIRO DE ITAPEMIRIMES489GOVERNADOR VALADARESMG490GUARAPARIES491ITAPETININGASP492CARUARUPE493FRANCASP394MARILIASP395NOVA FRIBURGORJ396FOZ DO IGUACUPR397JARAGUA DO SULSC398RESENDERJ399NILOPOLISRJ3100PORTO VELHORO3101RONDONOPOLISMT3102BETIMMG3103JAUSP3104TERESOPOLISRJ3105DOURADOSMS3106SANTA CRUZ DO SULRS3107VARGINHAMG3108TATUISP3109COSMOPOLISSP3110PINDAMONHANGABASP3111ASSISSP3112TUBARAOSC3113CHAPECOSC3114ITUMBIARAGO3115PALMAS DO TOCANTINSTO3116OURINHOSSP3117LINHARESES3118PERUIBESP3119BOA VISTARR3120LAGESSC3121AMPAROSP3122SETE LAGOASMG3123CAPAO DA CANOARS3124ITAPEMASC3125TAUBATESP2126ARACATUBASP2127BALNEARIO DE CAMBORIUSC2128PETROLINAPE2129CABO FRIORJ2130CACHOEIRINHARS2131ITAJAISC2132ANAPOLISGO2133JUAZEIRO DO NORTECE2134VALPARAISOGO2135CAMPOSRJ2136BARRA MANSARJ2137ARARUAMARJ2138ILHEUSBA2139SAO ROQUESP2140ITAPEVISP2141MACAERJ2142PATOS DE MINASMG2143SAO VICENTESP2144LAVRASMG2145AMERICANASP2146UBATUBASP2147LAJEADORS2148APUCARANAPR2149DIVINOPOLISMG2150SANTO ANTONIO DE JESUSBA2151TEIXEIRA DE FREITASBA2152SUMARESP2153TRES CORACOESMG2154MOGI-MIRIMSP2155ITATIBASP2156RIO BRANCOAC2157BELFORD ROXORJ2158BARRETOSSP2159BARBACENAMG2160RIO GRANDERS2161SAO SEBASTIAOSP2162TANGARA DA SERRAMT2163POUSO ALEGREMG2164CAMACARIBA2165SAO CAETANO DO SULSP2166CRUZ ALTARS2167FERNANDOPOLISSP2168SOBRALCE2169ITAPIRASP2170ANGRA DOS REISRJ2171GUARUJASP2172CATANDUVASP2173RIO VERDEGO2174BOTUCATUSP1175SAO JOAO DEL REYMG1176SAO JOAO DA BOA VISTASP1177LORENASP1178ERECHIMRS1179BRUSQUESC1180GUARATINGUETASP1181ATIBAIASP1182BRAGANCA PAULISTASP1183MATAOSP1184PRIMAVERA DO LESTEMT1185JI-PARANARO1186ARARASSP1187ITABIRAMG1188COLATINAES1189ALAGOINHASBA1190TOLEDOPR1191CATAGUASESMG1192TEOFILO OTONIMG1193BEBEDOUROSP1194JOACABASC1195ARUJASP1196CARAGUATATUBASP1197LINSSP1198MOCOCASP1199CARATINGAMG1200ARIQUEMESRO1Pesquisa: www.filmeb.com.br,,,,,,,,,,,,,,,,,,,,,,
,minicípio,UF,n° salas,,,,,,,,,,,,,,,,,,,
1,SAO PAULO,SP,234,,,,,,,,,,,,,,,,,,,
2,RIO DE JANEIRO,RJ,149,,,,,,,,,,,,,,,,,,,
