0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,94,649,"36,0%"
RIO DE JANEIRO,30,191,"11,5%"
MINAS GERAIS,23,135,"8,8%"
PARANÁ,17,98,"6,5%"
RIO GRANDE DO SUL,12,74,"4,6%"
DISTRITO FEDERAL,10,70,"3,8%"
PERNAMBUCO,9,61,"3,4%"
SANTA CATARINA,11,61,"4,2%"
BAHIA,7,55,"2,7%"
GOIÁS,8,44,"3,1%"
AMAZONAS,5,37,"1,9%"
PARÁ,5,30,"1,9%"
ESPIRITO SANTO,5,28,"1,9%"
CEARÁ,3,24,"1,1%"
PARAÍBA,4,23,"1,5%"
RIO GRANDE DO NORTE,3,19,"1,1%"
MARANHÃO,2,16,"0,8%"
MATO GROSSO,2,16,"0,8%"
MATO GROSSO DO SUL,2,16,"0,8%"
SERGIPE,2,14,"0,8%"
ALAGOAS,2,11,"0,8%"
TOCANTINS,2,11,"0,8%"
PIAUÍ,1,5,"0,4%"
RONDÔNIA,1,5,"0,4%"
ACRE,1,4,"0,4%"
RORAIMA,0,0,"0,0%"
AMAPÁ,0,0,"0,0%"
TOTAL,261,1.697,
