0,1
Total de salas multiplex por estado,Total de salas multiplex por estado
São Paulo,389
Rio de Janeiro,91
Minas Gerais,85
Paraná,65
Rio Grande do Sul,44
Distrito Federal,43
Pernambuco,36
Bahia,26
Goiás,22
Paraíba,21
Ceará,18
Amazonas,16
Mato Grosso,16
Sergipe,14
Espírito Santo,11
Maranhão,10
Mato Grosso do Sul,9
Rio Grande do Norte,7
Pará,7
Santa Catarina,6
Total,936
