0,1,2,3
Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado,Total de multiplex por estado
UF,cinemas,salas,market share
SÃO PAULO,138,911,"33,00%"
RIO DE JANEIRO,49,301,"10,90%"
MINAS GERAIS,35,201,"7,30%"
PARANÁ,29,165,"6,00%"
RIO GRANDE DO SUL,23,129,"4,70%"
SANTA CATARINA,20,107,"3,90%"
PERNAMBUCO,15,101,"3,70%"
BAHIA,16,97,"3,50%"
CEARÁ,15,88,"3,20%"
DISTRITO FEDERAL,12,83,"3,00%"
GOIÁS,15,82,"3,00%"
AMAZONAS,9,68,"2,50%"
PARÁ,10,61,"2,20%"
ESPIRITO SANTO,10,55,"2,00%"
MARANHÃO,9,51,"1,80%"
MATO GROSSO,5,36,"1,30%"
PARAÍBA,6,35,"1,30%"
RIO GRANDE DO NORTE,5,33,"1,20%"
PIAUÍ,5,31,"1,10%"
MATO GROSSO DO SUL,4,27,"1,00%"
ALAGOAS,4,26,"0,90%"
SERGIPE,4,24,"0,90%"
AMAPÁ,2,13,"0,50%"
TOCANTINS,2,11,"0,40%"
RORAIMA,2,9,"0,30%"
ACRE,1,6,"0,20%"
RONDÔNIA,1,6,"0,20%"
Total,446,2757,
