1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,87,2.977.216,34.221
RORAIMA,15,514.229,34.282
SÃO PAULO,1.005,44.749.699,44.527
RIO DE JANEIRO,370,16.635.996,44.962
AMAPÁ,15,782.295,52.153
SANTA CATARINA,129,6.910.553,53.570
ESPIRITO SANTO,72,3.973.697,55.190
GOIÁS,112,6.695.855,59.784
PARANÁ,177,11.242.720,63.518
AMAZONAS,63,4.001.667,63.519
RIO GRANDE DO SUL,157,11.286.500,71.889
MATO GROSSO,45,3.305.531,73.456
MINAS GERAIS,259,20.997.560,81.072
TOCANTINS,17,1.532.902,90.171
CEARÁ,98,8.963.663,91.466
PERNAMBUCO,96,9.410.336,98.024
MATO GROSSO DO SUL,27,2.682.386,99.348
PARAIBA,36,3.999.415,111.095
RIO GRANDE DO NORTE,31,3.474.998,112.097
SERGIPE,20,2.265.779,113.289
ALAGOAS,29,3.358.963,115.826
RONDONIA,15,1.787.279,119.152
PARÁ,65,8.263.872,127.136
MARANHÃO,51,6.834.594,134.012
PIAUI,23,3.212.180,139.660
BAHIA,99,15.196.920,153.504
ACRE,5,816.687,163.337
,3.118,205.873.492,66.027
