1,2,3,4
estado,n° salas,população estado,habitantes x sala
Distrito Federal,77,2.282.049,29.637
São Paulo,697,39.825.226,57.138
Rio de Janeiro,242,15.203.750,62.825
Rio Grande do Sul,155,10.726.063,69.200
Paraná,141,10.135.388,71.882
Espírito Santo,42,3.352.024,79.810
Amapá,6,547.400,91.233
Minas Gerais,195,18.993.720,97.404
Mato Grosso,28,2.749.145,98.184
Goiás,56,5.508.245,98.362
Santa Catarina,59,5.774.178,97.867
Mato Grosso do Sul,18,2.230.702,123.928
Roraima,3,381.896,127.299
Paraíba,26,3.568.350,137.244
Sergipe,14,1.934.596,138.185
Pernambuco,51,8.323.911,163.214
Amazonas,17,3.138.726,184.631
Bahia,67,13.682.074,204.210
Ceará,32,7.976.563,249.268
Tocantins,5,1.262.644,252.529
Rio Grande do Norte,10,2.962.107,296.211
Rondônia,5,1.562.085,312.417
Acre,2,630.328,315.164
Piauí,9,2.977.259,330.807
Maranhão,17,6.021.504,354.206
Pará,17,6.850.181,402.952
Alagoas,6,2.980.910,496.818
Total,1997,181.581.024,90.927
