1,2,3,4,5
estado,salas,público,população,ingressos per capita
Distrito Federal,92,3.105.705,2.455.903,126
São Paulo,742,28.494.319,39.827.690,072
Rio de Janeiro,263,10.976.441,15.420.450,071
Paraná,137,4.487.622,10.284.503,044
Amazonas,30,1.321.686,3.221.940,041
Espírito Santo,43,1.364.340,3.351.669,041
Santa Catarina,79,2.231.661,5.866.487,038
Rio Grande do Sul,134,4.000.117,10.582.887,038
Goiás,75,1.903.081,5.647.035,034
Sergipe,14,603.220,1.939.426,031
Mato Grosso,27,862.147,2.854.642,030
Minas Gerais,199,5.649.426,19.273.533,029
Mato Grosso do Sul,17,660.283,2.265.813,029
Pernambuco,51,2.386.154,8.486.638,028
Rio Grande do Norte,15,774.091,3.013.740,026
Amapá,7,150.398,587.311,026
Ceará,36,1.688.841,8.185.250,021
Paraíba,24,724.347,3.641.397,020
Bahia,67,2.579.006,14.080.670,018
Maranhão,16,693.129,5.118.995,014
Roraima,4,45.344,395.725,011
Pará,17,760.074,7.065.573,011
Acre,3,67.687,655.385,010
Alagoas,7,272.368,3.037.231,009
Rondônia,9,125.693,1.453.756,009
Piauí,7,247.274,3.032.435,008
Tocantins,5,70.942,1.243.627,006
Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2007 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2007 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2007 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2007 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2007 - Pesquisa: Filme B
