UF do complexo,Público
AC,275294
AL,1066720
AM,1656803
AP,377817
BA,3435948
CE,2964062
DF,2742188
ES,1648801
GO,2787744
MA,1306064
MG,6766660
MS,1081257
MT,1450157
PA,1996637
PB,910946
PE,3261692
PI,704786
PR,5645348
RJ,12017113
RN,1007032
RO,644758
RR,451978
RS,4304193
SC,3965560
SE,770712
SP,31679360
TO,367704
Total,95287334
