1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,87,4.999.457,2.974.703,168
RIO DE JANEIRO,375,23.901.870,17.159.960,139
RORAIMA,15,720.236,576.568,125
SÃO PAULO,1.029,55.235.013,45.538.936,121
AMAZONAS,71,3.569.198,3.995.258,089
AMAPÁ,15,624.220,829.494,075
ESPIRITO SANTO,73,2.977.466,3.972.388,075
SANTA CATARINA,148,5.271.970,7.075.494,075
PARANÁ,201,8.435.474,11.348.937,074
MATO GROSSO,53,2.445.584,3.441.998,071
RONDONIA,20,850.417,1.238.058,069
GOIÁS,116,4.497.361,6.921.161,065
RIO GRANDE DO SUL,180,6.997.459,11.329.605,062
PERNAMBUCO,116,5.801.821,9.486.191,061
MATO GROSSO DO SUL,27,1.629.853,2.748.023,059
ACRE,7,481.840,869.265,055
RIO GRANDE DO NORTE,31,1.847.327,3.377.908,055
CEARÁ,101,4.925.317,9.075.649,054
MINAS GERAIS,269,11.169.438,21.040.662,053
SERGIPE,24,1.120.975,2.278.308,049
ALAGOAS,29,1.526.729,3.322.820,046
PARÁ,84,3.761.840,8.504.598,044
PARAIBA,40,1.611.296,3.973.940,041
PIAUI,30,1.322.182,3.264.531,041
BAHIA,114,5.841.500,14.744.683,04
TOCANTINS,18,610.868,1.555.229,039
MARANHÃO,60,2.260.482,6.914.434,033
Total,3.333,164.437.193,207.558.801,079
