"Unidade da Federação";"População residente" 
"São Paulo";45736978 
"Minas Gerais";21178401 
"Rio de Janeiro";17211760 
"Bahia";14811339 
"Paraná";11686692 
"Rio Grande do Sul";11220506 
"Pernambuco";9493026 
"Ceará";9162955 
"Pará";8570045 
"Santa Catarina";7796817 
"Goiás";7201254 
"Maranhão";6998087 
"Amazonas";4199791 
"Paraíba";4106026 
"Espírito Santo";4050913 
"Mato Grosso";3720967 
"Rio Grande do Norte";3427955 
"Piauí";3357043 
"Alagoas";3218381 
"Distrito Federal";2952426 
"Mato Grosso do Sul";2854377 
"Sergipe";2273589 
"Rondônia";1734648 
"Tocantins";1557580 
"Acre";872566 
"Amapá";795457 
"Roraima";673404 
"Total";210862983
