1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,76,5.495.352,3.188.445,172
RIO DE JANEIRO,318,23.695.718,16.231.365,146
SÃO PAULO,873,50.843.185,41.901.219,121
AMAZONAS,38,3.215.843,3.590.985,090
PARANÁ,159,7.952.735,10.577.755,075
GOIÁS,84,4.307.176,6.154.996,070
SANTA CATARINA,106,4.429.067,6.383.286,069
ESPIRITO SANTO,47,2.385.520,3.578.067,067
RIO GRANDE DO SUL,160,6.631.217,10.770.603,062
MATO GROSSO,27,1.900.141,3.115.336,061
PERNAMBUCO,77,5.243.243,8.931.028,059
MINAS GERAIS,222,10.986.253,19.855.332,055
MATO GROSSO DO SUL,24,1.345.524,2.505.088,054
SERGIPE,14,1.119.640,2.110.867,053
ACRE,7,388.365,758.786,051
RIO GRANDE DO NORTE,19,1.543.415,3.228.198,048
RONDONIA,13,697.921,1.590.011,044
BAHIA,85,5.861.961,14.175.341,041
TOCANTINS,14,553.852,1.417.694,039
RORAIMA,6,176.911,469.524,038
CEARÁ,42,3.193.559,8.606.005,037
PARAIBA,26,1.331.269,3.815.171,035
ALAGOAS,14,1.076.093,3.165.472,034
PARÁ,39,2.399.716,7.762.758,031
AMAPÁ,8,199.089,698.602,028
MARANHÃO,21,1.396.996,6.714.314,021
PIAUI,10,544.331,3.160.748,017
,2.529,148.914.092,194.456.996,077
