mes_ano,Valor Pago
2014,87540238150000.0
2015,97073359540000.0
2016,93727869280000.0
2017,191551046090000.0
2018,88992287790000.0
2019,102007548480000.0
2020,89919224710000.0
2021,116483260280000.0
2022,88073057480000.0
2023,743918307160000.0
2024,941163432160000.0
2025,1056417199190000.0
2026,19708048890000.0
