1,2,3,4,5
estado,salas,espectadores,população estado,ingressos per capita
Distrito Federal,88,3.177.533,2.961.021,107
Rio de Janeiro,243,11.262.287,15.383.407,073
São Paulo,728,28.268.013,40.442.795,070
Amazonas,22,1.364.713,3.232.330,042
Paraná,123,4.265.361,10.261.856,042
Espírito Santo,37,1.315.286,3.408.365,039
Rio Grande do Sul,139,4.093.591,10.845.087,038
Mato Grosso,29,947.187,2.803.274,034
Sergipe,14,642.020,1.967.791,033
Minas Gerais,201,5.960.264,19.237.450,031
Santa Catarina,62,1.780.235,5.866.568,030
Mato Grosso do Sul,20,680.201,2.264.468,030
Goiás,58,1.686.789,5.619.917,030
Pernambuco,50,2.466.996,8.413.593,029
Rio Grande do Norte,15,755.256,3.003.087,025
Paraíba,24,804.005,3.595.886,022
Amapá,6,130.801,594.587,022
Ceará,36,1.609.170,8.097.276,020
Bahia,59,2.603.386,13.815.334,019
Pará,19,822.562,6.970.586,012
Maranhão,16,683.987,6.103.327,011
Alagoas,6,311.639,3.015.912,010
Roraima,3,39.340,391.317,010
Rondônia,8,151.099,1.534.594,010
Acre,3,52.532,669.736,008
Piauí,9,205.067,3.006.885,007
Tocantins,5,74.751,1.305.728,006
Fonte: Base de dados SDRJ - Fonte pop: IBGE - estimativa - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Fonte pop: IBGE - estimativa - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Fonte pop: IBGE - estimativa - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Fonte pop: IBGE - estimativa - Pesquisa: Filme B,Fonte: Base de dados SDRJ - Fonte pop: IBGE - estimativa - Pesquisa: Filme B
