1,2,3,4,5
estado,salas,espectadores,população estado,ingressos per capita
Distrito Federal,87,3.656.471,2.961.021,123
Rio de Janeiro,248,12.684.276,15.383.407,082
São Paulo,727,32.595.186,40.442.795,081
Rio Grande do Sul,146,5.078.454,10.845.087,047
Paraná,134,4.780.569,10.261.856,047
Espírito Santo,42,1.471.734,3.408.365,043
Amazonas,22,1.235.625,3.232.330,038
Mato Grosso,29,1.062.960,2.803.274,038
Sergipe,14,743.212,1.967.791,038
Goiás,55,2.060.740,5.619.917,037
Mato Grosso do Sul,18,821.910,2.264.468,036
Santa Catarina,57,1.998.650,5.866.568,034
Pernambuco,53,2.847.307,8.413.593,034
Minas Gerais,200,6.433.866,19.237.450,033
Paraíba,26,873.551,3.595.886,024
Ceará,36,1.932.295,8.097.276,024
Bahia,62,3.076.339,13.815.334,022
Amapá,7,123.689,594.587,021
Rio Grande do Norte,9,590.419,3.003.087,020
Pará,24,980.208,6.970.586,014
Alagoas,6,395.709,3.015.912,013
Maranhão,16,783.905,6.103.327,013
Rondônia,8,163.343,1.534.594,011
Roraima,3,39.287,391.317,010
Piauí,8,197.339,3.006.885,007
Tocantins,6,77.769,1.305.728,006
Acre,2,36.395,669.736,005
Total,2045,86.741.208,184.812.177,047
