1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,81,5.622.298,3.539.209,159
RIO DE JANEIRO,328,23.966.779,16.461.173,146
SÃO PAULO,937,52.946.159,44.035.304,120
AMAZONAS,56,3.512.142,3.873.743,091
PARANÁ,176,8.329.184,11.081.692,075
ESPIRITO SANTO,60,2.856.104,3.885.049,074
MATO GROSSO,36,2.218.678,3.224.357,069
SANTA CATARINA,107,4.539.871,6.727.148,067
GOIÁS,96,4.339.593,6.523.222,067
RIO GRANDE DO SUL,169,6.906.834,11.207.274,062
PERNAMBUCO,90,5.654.269,9.277.727,061
MATO GROSSO DO SUL,28,1.549.015,2.619.657,059
ACRE,5,452.341,790.101,057
RIO GRANDE DO NORTE,31,1.923.861,3.408.510,056
MINAS GERAIS,239,11.190.452,20.734.097,054
SERGIPE,19,1.187.435,2.219.574,053
ALAGOAS,29,1.536.857,3.321.730,046
RORAIMA,6,214.023,496.936,043
CEARÁ,79,3.617.662,8.842.791,041
BAHIA,87,6.159.750,15.126.371,041
TOCANTINS,13,607.646,1.496.880,041
RONDONIA,17,698.990,1.748.531,040
PARÁ,50,3.164.881,8.063.393,039
PARAIBA,26,1.306.231,3.943.885,033
MARANHÃO,33,2.053.164,6.850.884,030
PIAUI,14,619.079,3.194.718,019
AMAPÁ,7,114.740,750.912,015
Total,2.819,157.288.038,203.444.868,077
