1,2,3,4
estado,n° salas,população estado,habitantes x sala
Distrito Federal,87,2.961.021,34.035
São Paulo,727,40.442.795,55.630
Rio de Janeiro,248,15.383.407,62.030
Rio Grande do Sul,146,10.845.087,74.281
Paraná,134,10.261.856,76.581
Espírito Santo,42,3.408.365,81.152
Amapá,7,594.587,84.941
Minas Gerais,200,19.237.450,96.187
Mato Grosso,29,2.803.274,96.665
Goiás,55,5.619.917,102.180
Santa Catarina,57,5.866.568,102.922
Mato Grosso do Sul,18,2.264.468,125.804
Roraima,3,391.317,130.439
Paraíba,26,3.595.886,138.303
Sergipe,14,1.967.791,140.557
Pernambuco,53,8.413.593,158.747
Amazonas,22,3.232.330,146.924
Bahia,62,13.815.334,222.828
Ceará,36,8.097.276,224.924
Tocantins,6,1.305.728,217.621
Rio Grande do Norte,9,3.003.087,333.676
Rondônia,8,1.534.594,191.824
Acre,2,669.736,334.868
Piauí,8,3.006.885,375.861
Maranhão,16,6.103.327,381.458
Pará,24,6.970.586,290.441
Alagoas,6,3.015.912,502.652
Total,2.045,184.812.177,90.373
