1,2,3,4
estado,n° de salas,pop. estado,hab. por sala
Distrito Federal,75,2.051.146,27.349
São Paulo,582,37.032.403,63.630
Rio de Janeiro,220,14.391.282,65.415
Rio Grande do Sul,134,10.187.798,76.028
Amapá,6,477.032,79.505
Paraná,94,9.563.458,101.739
Goiás,47,5.003.228,106.452
Santa Catarina,48,5.356.360,111.591
Mato Grosso,22,2.504.353,113.834
Mato Grosso do Sul,18,2.078.001,115.445
Minas Gerais,151,17.891.494,118.487
Amazonas,20,2.812.557,140.628
Roraima,2,324.397,162.199
Sergipe,10,1.784.475,178.448
Pernambuco,37,7.918.344,214.009
Paraíba,15,3.443.825,229.588
Bahia,56,13.070.250,233.397
Espírito Santo,13,3.097.232,238.249
Acre,2,557.526,278.763
Rondônia,4,1.379.787,344.947
Ceará,21,7.430.661,353.841
Piauí,7,2.843.278,406.183
Pará,14,6.192.307,442.308
Rio Grande do Norte,6,2.776.782,462.797
Alagoas,6,2.822.621,470.437
Tocantins,2,1.157.098,578.549
Maranhão,8,5.651.475,706.434
Total,1620,169.799.170,104.814
