1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,76,3.188.445,41.953
SÃO PAULO,873,41.901.219,47.997
RIO DE JANEIRO,318,16.231.365,51.042
SANTA CATARINA,106,6.383.286,60.220
PARANÁ,159,10.577.755,66.527
RIO GRANDE DO SUL,160,10.770.603,67.316
GOIÁS,84,6.154.996,73.274
ESPIRITO SANTO,47,3.578.067,76.129
RORAIMA,6,469.524,78.254
AMAPÁ,8,698.602,87.325
MINAS GERAIS,222,19.855.332,89.438
AMAZONAS,38,3.590.985,94.500
TOCANTINS,14,1.417.694,101.264
MATO GROSSO DO SUL,24,2.505.088,104.379
ACRE,7,758.786,108.398
MATO GROSSO,27,3.115.336,115.383
PERNAMBUCO,77,8.931.028,115.987
RONDONIA,13,1.590.011,122.309
PARAIBA,26,3.815.171,146.737
SERGIPE,14,2.110.867,150.776
BAHIA,85,14.175.341,166.769
RIO GRANDE DO NORTE,19,3.228.198,169.905
PARÁ,39,7.762.758,199.045
CEARÁ,42,8.606.005,204.905
ALAGOAS,14,3.165.472,226.105
PIAUI,10,3.160.748,316.075
MARANHÃO,21,6.714.314,319.729
,2.529,194.456.996,76.891
