UF do complexo,Público
AC,223478
AL,455195
AM,892598
AP,213220
BA,1690302
CE,1647092
DF,1586508
ES,1007820
GO,1393839
MA,675776
MG,3062150
MS,590587
MT,916586
PA,1324351
PB,458902
PE,1708038
PI,466056
PR,2651980
RJ,7004138
RN,614825
RO,444506
RR,300553
RS,2053115
SC,2031152
SE,338072
SP,18309263
TO,207225
Total,52267327
