1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,88,3.055.149,34.718
RORAIMA,15,631.181,42.079
SÃO PAULO,1.095,46.289.333,42.273
RIO DE JANEIRO,381,17.366.189,45.581
SANTA CATARINA,151,7.252.502,48.030
PARANÁ,226,11.516.840,50.959
ESPIRITO SANTO,74,4.064.052,54.920
AMAPÁ,15,861.773,57.452
AMAZONAS,72,4.207.714,58.440
RIO GRANDE DO SUL,193,11.422.973,59.186
GOIÁS,119,7.113.540,59.778
MATO GROSSO,53,3.526.220,66.532
MINAS GERAIS,286,21.292.666,74.450
RONDONIA,24,1.796.460,74.853
PERNAMBUCO,121,9.616.621,79.476
MATO GROSSO DO SUL,35,2.809.394,80.268
CEARÁ,113,9.187.103,81.302
TOCANTINS,19,1.590.248,83.697
SERGIPE,27,2.318.822,85.882
PARAIBA,45,4.039.277,89.762
PIAUI,34,3.281.480,96.514
PARÁ,85,8.690.745,102.244
RIO GRANDE DO NORTE,33,3.534.165,107.096
BAHIA,133,14.930.634,112.260
MARANHÃO,63,7.114.598,112.930
ALAGOAS,29,3.351.543,115.570
ACRE,7,894.470,127.781
Total,3.536,211.755.692,59.886
