1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,88,3.015.268,34.264
RORAIMA,15,605.761,40.384
SÃO PAULO,1.094,45.919.049,41.974
RIO DE JANEIRO,382,17.264.943,45.196
SANTA CATARINA,151,7.164.788,47.449
PARANÁ,221,11.433.957,51.737
ESPIRITO SANTO,74,4.018.650,54.306
AMAPÁ,15,845.731,56.382
AMAZONAS,72,4.144.597,57.564
RIO GRANDE DO SUL,188,11.377.239,60.517
GOIÁS,114,7.018.354,61.565
MATO GROSSO,53,3.484.466,65.745
MINAS GERAIS,281,21.168.791,75.334
RONDONIA,22,1.777.225,80.783
PERNAMBUCO,118,9.557.071,80.992
TOCANTINS,19,1.572.866,82.782
CEARÁ,109,9.132.078,83.781
SERGIPE,27,2.298.696,85.137
PARAIBA,45,4.018.127,89.292
MATO GROSSO DO SUL,31,2.778.986,89.645
PIAUI,34,3.273.227,96.271
PARÁ,85,8.602.865,101.210
RIO GRANDE DO NORTE,31,3.506.853,113.124
BAHIA,130,14.873.064,114.408
ALAGOAS,29,3.337.357,115.081
MARANHÃO,61,7.075.181,115.987
ACRE,7,881.935,125.991
Total,3.496,210.147.125,60.111
