1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,77,2.609.998,33.896
SAO PAULO,810,41.587.182,51.342
RIO DE JANEIRO,299,16.112.678,53.889
SANTA CATARINA,97,6.317.054,65.124
PARANA,152,10.512.349,69.160
RIO GRANDE DO SUL,149,10.733.030,72.034
RORAIMA,6,460.165,76.694
GOIAS,79,6.080.716,76.971
ESPIRITO SANTO,44,3.547.055,80.615
AMAZONAS,41,3.538.387,86.302
MINAS GERAIS,196,19.728.701,100.657
MATO GROSSO DO SUL,24,2.477.542,103.231
ACRE,7,746.386,106.627
MATO GROSSO,27,3.075.936,113.924
AMAPA,6,684.309,114.052
RONDONIA,12,1.576.455,131.371
PERNAMBUCO,60,8.864.906,147.748
SERGIPE,14,2.089.819,149.273
PARAIBA,25,3.791.315,151.653
TOCANTINS,9,1.400.892,155.655
RIO GRANDE DO NORTE,19,3.198.657,168.350
BAHIA,75,14.097.534,187.967
CEARA,43,8.530.155,198.376
ALAGOAS,14,3.143.384,224.527
PARA,31,7.688.593,248.019
PIAUI,10,3.140.328,314.033
MARANHAO,20,6.645.761,332.288
Total,2.346,192.379.287,82.003
