1,2,3,4,5
estado,salas,público,população,ingressos per capita
Distrito Federal,90,3.665.349,2.557.158,143
Rio de Janeiro,258,13.674.096,15.872.362,086
São Paulo,719,31.934.576,41.011.635,078
Amazonas,30,1.523.735,3.341.096,046
Espírito Santo,45,1.552.564,3.453.648,045
Paraná,133,4.374.953,10.590.169,041
Goiás,72,2.271.316,5.844.996,039
Santa Catarina,74,2.339.898,6.052.587,039
Rio Grande do Sul,142,4.008.793,10.855.214,037
Sergipe,9,649.463,1.999.374,032
Mato Grosso,25,940.860,2.957.732,032
Minas Gerais,187,6.286.163,19.850.072,032
Pernambuco,53,2.743.675,8.734.194,031
Mato Grosso do Sul,17,727.929,2.336.058,031
Rio Grande do Norte,14,821.779,3.106.430,026
Amapá,7,157.825,613.164,026
Bahia,67,3.396.581,14.502.575,023
Ceará,35,1.641.856,8.450.527,019
Paraíba,20,681.659,3.742.606,018
Roraima,5,73.214,412.783,018
Maranhão,11,810.905,6.305.539,013
Pará,19,792.428,7.321.493,011
Alagoas,5,284.643,3.127.557,009
Rondônia,13,120.085,1.493.566,008
Piauí,7,250.492,3.119.697,008
Acre,3,36.964,680.073,005
Tocantins,3,45.973,1.280.509,004
Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2008 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2008 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2008 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2008 - Pesquisa: Filme B,Fonte: Salas-Filme B Box Office/Público-Base de dados SDRJ/Pop: IBGE-estimativa 2008 - Pesquisa: Filme B
