1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,88,5.399.645,3.015.268,179
RIO DE JANEIRO,382,25.061.363,17.264.943,145
SÃO PAULO,1.094,59.843.358,45.919.049,13
RORAIMA,15,737.983,605.761,122
AMAZONAS,72,3.625.372,4.144.597,087
SANTA CATARINA,151,6.016.312,7.164.788,084
PARANÁ,221,9.506.711,11.433.957,083
ESPIRITO SANTO,74,3.276.528,4.018.650,082
AMAPÁ,15,653.544,845.731,077
MATO GROSSO,53,2.582.451,3.484.466,074
RIO GRANDE DO SUL,188,8.035.764,11.377.239,071
PERNAMBUCO,118,6.350.123,9.557.071,066
GOIÁS,114,4.654.411,7.018.354,066
MATO GROSSO DO SUL,31,1.691.983,2.778.986,061
ACRE,7,534.579,881.935,061
MINAS GERAIS,281,12.334.495,21.168.791,058
CEARÁ,109,5.190.948,9.132.078,057
RIO GRANDE DO NORTE,31,1.900.433,3.506.853,054
RONDONIA,22,936.134,1.777.225,053
SERGIPE,27,1.209.703,2.298.696,053
ALAGOAS,29,1.618.697,3.337.357,049
PIAUI,34,1.478.052,3.273.227,045
PARÁ,85,3.815.129,8.602.865,044
PARAIBA,45,1.752.408,4.018.127,044
BAHIA,130,6.219.779,14.873.064,042
TOCANTINS,19,626.514,1.572.866,04
MARANHÃO,61,2.264.813,7.075.181,032
Total,3.496,177.317.232,210.147.125,084
