1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,88,1.255.825,3.055.149,041
RIO DE JANEIRO,381,6.050.102,17.366.189,035
SÃO PAULO,1.095,13.050.318,46.289.333,028
RORAIMA,15,167.677,631.181,027
AMAZONAS,72,861.960,4.207.714,020
ESPIRITO SANTO,74,810.353,4.064.052,020
SANTA CATARINA,151,1.400.344,7.252.502,019
MATO GROSSO,53,658.432,3.526.220,019
PARANÁ,226,1.983.362,11.516.840,017
AMAPÁ,15,138.099,861.773,016
PERNAMBUCO,121,1.467.693,9.616.621,015
RIO GRANDE DO SUL,193,1.690.915,11.422.973,015
MATO GROSSO DO SUL,35,410.680,2.809.394,015
GOIÁS,119,1.036.843,7.113.540,015
ACRE,7,122.045,894.470,014
CEARÁ,113,1.252.878,9.187.103,014
RIO GRANDE DO NORTE,33,462.875,3.534.165,013
MINAS GERAIS,286,2.714.064,21.292.666,013
RONDONIA,24,225.754,1.796.460,013
SERGIPE,27,277.859,2.318.822,012
PARÁ,85,978.896,8.690.745,011
BAHIA,133,1.484.793,14.930.634,010
PIAUI,34,314.834,3.281.480,010
ALAGOAS,29,318.984,3.351.543,010
PARAIBA,45,382.015,4.039.277,009
TOCANTINS,19,128.053,1.590.248,008
MARANHÃO,63,544.891,7.114.598,008
Total,3.536,40.190.544,211.755.692,019
