1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,87,6.257.331,2.977.216,210
RIO DE JANEIRO,370,26.808.291,16.635.996,161
SÃO PAULO,1.005,62.902.127,44.749.699,141
RORAIMA,15,707.447,514.229,138
AMAZONAS,63,4.035.224,4.001.667,101
ESPIRITO SANTO,72,3.621.957,3.973.697,091
SANTA CATARINA,129,5.794.075,6.910.553,084
PARANÁ,177,9.348.634,11.242.720,083
AMAPÁ,15,634.484,782.295,081
MATO GROSSO,45,2.615.365,3.305.531,079
MATO GROSSO DO SUL,27,2.010.715,2.682.386,075
GOIÁS,112,4.864.005,6.695.855,073
PERNAMBUCO,96,6.448.527,9.410.336,069
RIO GRANDE DO SUL,157,7.571.929,11.286.500,067
RIO GRANDE DO NORTE,31,2.187.453,3.474.998,063
ACRE,5,508.763,816.687,062
MINAS GERAIS,259,13.064.584,20.997.560,062
CEARÁ,98,5.576.652,8.963.663,062
SERGIPE,20,1.286.421,2.265.779,057
ALAGOAS,29,1.740.132,3.358.963,052
PARÁ,65,4.031.326,8.263.872,049
RONDONIA,15,856.511,1.787.279,048
PARAIBA,36,1.808.273,3.999.415,045
BAHIA,99,6.785.930,15.196.920,045
PIAUI,23,1.336.513,3.212.180,042
TOCANTINS,17,633.076,1.532.902,041
MARANHÃO,51,2.428.573,6.834.594,036
,3.118,185.864.318,205.873.492,090
