1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,81,5.591.438,3.476.598,161
RIO DE JANEIRO,311,24.084.189,16.369.179,147
SÃO PAULO,893,50.625.893,43.663.669,116
AMAZONAS,47,3.197.430,3.807.921,084
PARANÁ,168,8.074.104,10.997.465,073
SANTA CATARINA,109,4.667.217,6.634.254,070
ESPIRITO SANTO,56,2.582.719,3.839.366,067
MATO GROSSO,36,2.057.520,3.182.113,065
GOIÁS,92,4.111.667,6.434.048,064
RIO GRANDE DO SUL,168,7.062.324,11.164.043,063
PERNAMBUCO,82,5.588.078,9.208.550,061
ACRE,5,413.573,776.463,053
MINAS GERAIS,213,10.912.941,20.593.356,053
MATO GROSSO DO SUL,28,1.353.653,2.587.269,052
SERGIPE,19,1.104.278,2.195.662,050
RIO GRANDE DO NORTE,29,1.539.686,3.373.959,046
BAHIA,93,6.052.120,15.044.137,040
TOCANTINS,13,582.099,1.478.164,039
RONDONIA,13,679.336,1.728.214,039
RORAIMA,6,190.510,488.072,039
CEARÁ,49,3.253.538,8.778.576,037
PARÁ,47,2.707.683,7.999.729,034
PARAIBA,26,1.253.632,3.914.421,032
ALAGOAS,14,1.040.174,3.300.935,032
MARANHÃO,33,1.759.928,6.794.301,026
AMAPÁ,4,164.588,734.996,022
PIAUI,10,539.968,3.184.166,017
,2.645,151.190.286,201.749.626,075
