,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2010,,,,,,,,,,,,,,,,,,,,,
,33. Evolução dos investimentos na produção audiovisual 1995/2010,,,,,,,,,,,,,,,,,,,,,
"Investimentos19951996199719981999 Lei do Audiovisual (Art. 1º)16.848.50750.449.95275.917.00139.093.36237.766.848 Lei do Audiovisual (Art. 1ºA)----- Lei do Audiovisual (Art. 3º)4.030.9927.319.7873.848.4913.999.7073.865.016 Lei do Audiovisual (Art. 3ºA)----- Lei Rouanet8.055.98217.946.98434.245.58730.060.45719.164.603 Conversão da dívida----952.653 Programa Mais Cinema----7.041.667 Orçamento da União1.600.0003.835.8409.822.2125.541.49111.703.668 Art. 39 (Condecine 3%)----- Funcines ----- Total30.535.48179.552.563123.833.29178.695.01780.494.455 Investimentos200020012002200320042005 Lei do Audiovisual (Art. 1º)23.909.64841.487.61834.274.00050.751.00056.232.09041.735.000 Lei do Audiovisual (Art. 1ºA)------ Lei do Audiovisual (Art. 3º)5.891.46515.225.12711.578.00042.217.00037.915.05034.505.000 Lei do Audiovisual (Art. 3ºA)------ Lei Rouanet21.397.44943.981.49620.030.00020.124.00034.361.00037.913.000 Conversão da dívida5.505.668540.2173.192.0002.180.000-- Programa Mais Cinema2.125.000----- Orçamento da União13.929.50015.537.710---- Art. 39 (Condecine 3%)---2.894.00016.669.00014.921.600 Funcines -----1.032.000 Total72.758.730116.772.16869.074.000118.166.000145.177.140130.106.600 Investimentos20062007200820092010*Total Lei do Audiovisual (Art. 1º)56.603.50045.355.90038.087.50031.417.80022.352.414370.348.590 Lei do Audiovisual (Art. 1ºA)-38.523.70049.023.80044.787.60052.624.531184.959.631 Lei do Audiovisual (Art. 3º)63.410.80037.700.10032.626.10023.540.90029.446.526227.283.741 Lei do Audiovisual (Art. 3ºA)---2.500.00028.201.04730.701.047 Lei Rouanet41.474.4009.306.1006.507.5008.490.6002.732.750203.145.355 Conversão da dívida-----10.190.538 Programa Mais Cinema-----9.166.667 Orçamento da União-----46.712.369 Art. 39 (Condecine 3%)5.332.10020.904.00016.984.3006.973.90012.179.95762.374.257 Funcines 3.440.0001.923.0008.185.0001.850.0006.600.00021.998.000 Total170.260.800153.712.800151.414.200119.560.800154.137.2251.166.880.195Fonte: MinC / Ancine - Pesquisa: Filme BObservações: * Dados preliminares, sujeitos a alterações.",,,,,,,,,,,,,,,,,,,,,,
Total,30.535.481,79.552.563,123.833.291,78.695.017,80.494.455,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Investimentos,2000,2001,2002,2003,2004,2005,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 1º),23.909.648,41.487.618,34.274.000,50.751.000,56.232.090,41.735.000,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 1ºA),-,-,-,-,-,-,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 3º),5.891.465,15.225.127,11.578.000,42.217.000,37.915.050,34.505.000,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 3ºA),-,-,-,-,-,-,,,,,,,,,,,,,,,,
Lei Rouanet,21.397.449,43.981.496,20.030.000,20.124.000,34.361.000,37.913.000,,,,,,,,,,,,,,,,
Conversão da dívida,5.505.668,540.217,3.192.000,2.180.000,-,-,,,,,,,,,,,,,,,,
Programa Mais Cinema,2.125.000,-,-,-,-,-,,,,,,,,,,,,,,,,
Orçamento da União,13.929.500,15.537.710,-,-,-,-,,,,,,,,,,,,,,,,
Art. 39 (Condecine 3%),-,-,-,2.894.000,16.669.000,14.921.600,,,,,,,,,,,,,,,,
Funcines,-,-,-,-,-,1.032.000,,,,,,,,,,,,,,,,
Total,72.758.730,116.772.168,69.074.000,118.166.000,145.177.140,130.106.600,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Investimentos,2006,2007,2008,2009,2010*,Total,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 1º),56.603.500,45.355.900,38.087.500,31.417.800,22.352.414,370.348.590,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 1ºA),-,38.523.700,49.023.800,44.787.600,52.624.531,184.959.631,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 3º),63.410.800,37.700.100,32.626.100,23.540.900,29.446.526,227.283.741,,,,,,,,,,,,,,,,
Lei do Audiovisual (Art. 3ºA),-,-,-,2.500.000,28.201.047,30.701.047,,,,,,,,,,,,,,,,
Lei Rouanet,41.474.400,9.306.100,6.507.500,8.490.600,2.732.750,203.145.355,,,,,,,,,,,,,,,,
Conversão da dívida,-,-,-,-,-,10.190.538,,,,,,,,,,,,,,,,
Programa Mais Cinema,-,-,-,-,-,9.166.667,,,,,,,,,,,,,,,,
Orçamento da União,-,-,-,-,-,46.712.369,,,,,,,,,,,,,,,,
Art. 39 (Condecine 3%),5.332.100,20.904.000,16.984.300,6.973.900,12.179.957,62.374.257,,,,,,,,,,,,,,,,
Funcines,3.440.000,1.923.000,8.185.000,1.850.000,6.600.000,21.998.000,,,,,,,,,,,,,,,,
Total,170.260.800,153.712.800,151.414.200,119.560.800,154.137.225,1.166.880.195,,,,,,,,,,,,,,,,
Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,Fonte: MinC / Ancine - Pesquisa: Filme B,,,,,,,,,,,,,,,,
"Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.","Observações: * Dados preliminares, sujeitos a alterações.",,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
