1,2,3,4
estado,nº salas,pop. estado,habitantes por sala
Distrito Federal,72,2.051.146,28.488
São Paulo,649,37.032.403,57.061
Rio de Janeiro,222,14.391.282,64.826
Rio Grande do Sul,149,10.187.798,68.374
Espírito Santo,41,3.097.232,75.542
Paraná,120,9.563.458,79.695
Amapá,5,477.032,95.406
Goiás,51,5.003.228,98.103
Santa Catarina,51,5.356.360,105.027
Minas Gerais,169,17.891.494,105.867
Sergipe,14,1.784.475,127.463
Mato Grosso do Sul,15,2.078.001,138.533
Mato Grosso,18,2.504.353,139.131
Paraíba,22,3.443.825,156.538
Roraima,2,324.397,162.199
Amazonas,17,2.812.557,165.445
Pernambuco,40,7.918.344,197.959
Bahia,62,13.070.250,210.810
Ceará,31,7.430.661,239.699
Rondônia,5,1.379.787,275.957
Rio Grande do Norte,10,2.776.782,277.678
Acre,2,557.526,278.763
Piauí,9,2.843.278,315.920
Maranhão,17,5.651.475,332.440
Tocantins,3,1.157.098,385.699
Pará,15,6.192.307,412.820
Alagoas,6,2.822.621,470.437
Total,1817,169.799.170,93.450
