1,2,3,4
estado,n° salas,população estado,habitantes x sala
Distrito Federal,88,2.961.021,33.648
São Paulo,728,40.442.795,55.553
Rio de Janeiro,243,15.383.407,63.306
Rio Grande do Sul,139,10.845.087,78.022
Paraná,123,10.261.856,83.430
Espírito Santo,37,3.408.365,92.118
Santa Catarina,62,5.866.568,94.622
Minas Gerais,201,19.237.450,95.709
Mato Grosso,29,2.803.274,96.665
Goiás,58,5.619.917,96.895
Amapá,6,594.587,99.098
Mato Grosso do Sul,20,2.264.468,113.223
Roraima,3,391.317,130.439
Sergipe,14,1.967.791,140.557
Amazonas,22,3.232.330,146.924
Paraíba,24,3.595.886,149.829
Pernambuco,50,8.413.593,168.272
Rondônia,8,1.534.594,191.824
Rio Grande do Norte,15,3.003.087,200.206
Acre,3,669.736,223.245
Ceará,36,8.097.276,224.924
Bahia,59,13.815.334,234.158
Tocantins,5,1.305.728,261.146
Piauí,9,3.006.885,334.098
Pará,19,6.970.586,366.873
Maranhão,16,6.103.327,381.458
Alagoas,6,3.015.912,502.652
Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B,Fonte: IBGE - estimativa 2005 - Pesquisa: Filme B
