1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,81,3.476.598,42.921
SÃO PAULO,893,43.663.669,48.895
RIO DE JANEIRO,311,16.369.179,52.634
SANTA CATARINA,109,6.634.254,60.865
PARANÁ,168,10.997.465,65.461
RIO GRANDE DO SUL,168,11.164.043,66.453
ESPIRITO SANTO,56,3.839.366,68.560
GOIÁS,92,6.434.048,69.935
AMAZONAS,47,3.807.921,81.020
RORAIMA,6,488.072,81.345
MATO GROSSO,36,3.182.113,88.392
MATO GROSSO DO SUL,28,2.587.269,92.402
MINAS GERAIS,213,20.593.356,96.682
PERNAMBUCO,82,9.208.550,112.299
TOCANTINS,13,1.478.164,113.705
SERGIPE,19,2.195.662,115.561
RIO GRANDE DO NORTE,29,3.373.959,116.343
RONDONIA,13,1.728.214,132.940
PARAIBA,26,3.914.421,150.555
ACRE,5,776.463,155.293
BAHIA,93,15.044.137,161.765
PARÁ,47,7.999.729,170.207
CEARÁ,49,8.778.576,179.155
AMAPÁ,4,734.996,183.749
MARANHÃO,33,6.794.301,205.888
ALAGOAS,14,3.300.935,235.781
PIAUI,10,3.184.166,318.417
,2.645,201.749.626,76.276
