1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,87,5.633.701,3.039.444,185
RORAIMA,15,829.682,522.636,159
RIO DE JANEIRO,361,25.927.527,16.718.956,155
SÃO PAULO,1.015,62.565.747,45.094.866,139
AMAZONAS,70,3.936.929,4.063.614,097
AMAPÁ,15,687.786,797.722,086
SANTA CATARINA,133,5.896.944,7.001.161,084
PARANÁ,193,9.506.827,11.320.892,084
MATO GROSSO,46,2.755.645,3.344.544,082
ESPIRITO SANTO,74,3.201.204,4.016.356,080
GOIÁS,117,5.042.300,6.778.772,074
MATO GROSSO DO SUL,27,1.874.051,2.713.147,069
RIO GRANDE DO SUL,176,7.749.230,11.322.895,068
PERNAMBUCO,97,6.201.467,9.473.266,065
ACRE,7,535.170,829.619,065
CEARÁ,101,5.704.336,9.020.460,063
RIO GRANDE DO NORTE,31,2.120.837,3.507.003,060
MINAS GERAIS,257,12.184.456,21.119.536,058
SERGIPE,24,1.243.737,2.288.116,054
ALAGOAS,29,1.750.307,3.375.823,052
RONDONIA,18,907.704,1.805.788,050
PIAUI,26,1.536.012,3.219.257,048
PARÁ,66,3.953.838,8.366.628,047
PARAIBA,37,1.855.930,4.025.558,046
TOCANTINS,18,677.078,1.550.194,044
BAHIA,104,6.440.310,15.344.447,042
MARANHÃO,62,2.331.363,7.000.229,033
Total,3.206,183.050.118,207.660.929,088
