1,2,3,4,5
estado,salas,público,população,ingressos per capita
Distrito Federal,93,4.269.045,2.606.885,164
Rio de Janeiro,255,17.756.110,16.010.429,111
São Paulo,731,41.224.884,41.384.039,100
Espirito Santo,43,2.070.694,3.487.199,059
Paraná,136,5.948.088,10.686.247,056
Amazonas,31,1.874.560,3.393.369,055
Goiás,74,3.191.686,5.926.300,054
Santa Catarina,72,3.276.413,6.118.743,054
Rio Grande do Sul,139,5.318.660,10.914.128,049
Sergipe,14,890.774,2.019.679,044
Minas Gerais,184,8.533.756,20.033.665,043
Pernambuco,53,3.680.712,8.810.256,042
Mato Grosso,26,1.221.303,3.001.692,041
Mato Grosso do Sul,17,895.113,2.360.498,038
Amapá,6,213.372,626.609,034
Rio Grande do Norte,14,1.055.027,3.137.541,034
Rondonia,13,469.889,1.503.928,032
Bahia,78,4.322.029,14.637.364,030
Ceará,41,2.501.526,8.547.809,029
Roraima,5,116.291,421.499,028
Paraiba,20,926.314,3.769.977,025
Pará,19,1.144.172,7.431.020,015
Maranhão,11,945.642,6.367.138,015
Alagoas,5,426.226,3.156.108,014
Piaui,10,385.970,3.145.325,012
Acre,3,54.870,691.132,008
Tocantins,3,38.577,1.292.051,003
Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme B,Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme B,Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme B,Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme B,Fonte: Banco de dados Filme B / Pop: IBGE-estimativa 2009 - Pesquisa: Filme B
