"Unidade da Federação";"População residente" 
"São Paulo";45850570 
"Minas Gerais";21247401 
"Rio de Janeiro";17213813 
"Bahia";14828806 
"Paraná";11753862 
"Rio Grande do Sul";11222292 
"Pernambuco";9514483 
"Ceará";9196672 
"Pará";8616120 
"Santa Catarina";7927212 
"Goiás";7274463 
"Maranhão";7003234 
"Amazonas";4240571 
"Paraíba";4124468 
"Espírito Santo";4076068 
"Mato Grosso";3778389 
"Rio Grande do Norte";3436278 
"Piauí";3365881 
"Alagoas";3218607 
"Distrito Federal";2967543 
"Mato Grosso do Sul";2878009 
"Sergipe";2281994 
"Rondônia";1740255 
"Tocantins";1567191 
"Acre";876582 
"Amapá";799124 
"Roraima";695270 
"Total";211695158
