1,2,3,4,5
estado,salas,público,população,ingressos per capita
DISTRITO FEDERAL,86,5.769.914,2.914.830,198
RIO DE JANEIRO,351,25.465.464,16.550.024,154
SÃO PAULO,974,58.329.950,44.396.484,131
AMAZONAS,63,3.776.327,3.938.336,096
RORAIMA,15,481.025,505.665,095
ESPIRITO SANTO,69,3.237.599,3.929.911,082
PARANÁ,163,8.737.585,11.163.018,078
SANTA CATARINA,119,5.259.630,6.819.190,077
MATO GROSSO,42,2.358.427,3.265.486,072
RIO GRANDE DO SUL,150,7.552.108,11.247.972,067
MATO GROSSO DO SUL,28,1.758.533,2.651.235,066
GOIÁS,98,4.364.297,6.610.681,066
PERNAMBUCO,88,6.009.610,9.345.173,064
RIO GRANDE DO NORTE,31,2.081.184,3.442.175,060
ACRE,5,474.366,803.513,059
SERGIPE,18,1.279.402,2.242.937,057
MINAS GERAIS,251,11.849.303,20.869.101,057
AMAPÁ,17,417.050,766.679,054
CEARÁ,84,4.681.509,8.904.459,053
ALAGOAS,29,1.682.298,3.340.932,050
PARÁ,64,3.268.905,8.165.436,040
BAHIA,85,6.076.700,15.203.934,040
RONDONIA,15,703.237,1.768.204,040
PARAIBA,34,1.527.996,3.972.202,038
TOCANTINS,13,559.872,1.515.126,037
MARANHÃO,44,2.196.281,6.904.241,032
PIAUI,24,823.409,3.204.028,026
TOTAL,2.960,170.721.981,204.440.972,084
