1,2,3,4,5
estado,salas,público,população,ingressos per capita
Distrito Federal,80,5.019.033,2.562.963,196
Rio de Janeiro,271,21.050.005,15.993.583,132
São Paulo,785,48.299.477,41.252.160,117
Amazonas,41,2.665.406,3.480.937,077
Paraná,143,7.333.697,10.439.601,070
Espirito Santo,45,2.271.300,3.512.672,065
Santa Catarina,83,3.985.937,6.249.682,064
Rio Grande do Sul,142,6.681.382,10.695.532,062
Goiás,74,3.632.556,6.004.045,061
Sergipe,14,1.128.536,2.068.031,055
Mato Grosso,27,1.604.544,3.033.991,053
Minas Gerais,188,9.915.449,19.595.309,051
Pernambuco,54,4.276.379,8.796.032,049
Mato Grosso do Sul,17,1.101.979,2.449.341,045
Rio Grande do Norte,19,1.416.504,3.168.133,045
Roraima,6,183.830,451.227,041
Rondonia,12,623.794,1.560.501,040
Bahia,82,5.460.280,14.021.432,039
Ceará,44,3.017.050,8.448.055,036
Paraiba,20,1.163.538,3.766.834,031
Amapá,6,191.062,668.689,029
Alagoas,10,693.560,3.120.922,022
Pará,27,1.457.119,7.588.078,019
Maranhão,17,1.182.660,6.569.683,018
Piaui,10,476.246,3.119.015,015
Acre,3,77.957,732.793,011
Tocantins,5,48.662,1.383.453,004
Total,,134.957.942,190.732.694,071
