1,2,3,4
estado,salas,pop. Estado,habitantes por sala
DISTRITO FEDERAL,81,3.539.209,43.694
SÃO PAULO,937,44.035.304,46.996
RIO DE JANEIRO,328,16.461.173,50.187
SANTA CATARINA,107,6.727.148,62.871
PARANÁ,176,11.081.692,62.964
ESPIRITO SANTO,60,3.885.049,64.751
RIO GRANDE DO SUL,169,11.207.274,66.315
GOIÁS,96,6.523.222,67.950
AMAZONAS,56,3.873.743,69.174
RORAIMA,6,496.936,82.823
MINAS GERAIS,239,20.734.097,86.754
MATO GROSSO,36,3.224.357,89.565
MATO GROSSO DO SUL,28,2.619.657,93.559
RONDONIA,17,1.748.531,102.855
PERNAMBUCO,90,9.277.727,103.086
AMAPÁ,7,750.912,107.273
RIO GRANDE DO NORTE,31,3.408.510,109.952
CEARÁ,79,8.842.791,111.934
ALAGOAS,29,3.321.730,114.542
TOCANTINS,13,1.496.880,115.145
SERGIPE,19,2.219.574,116.820
PARAIBA,26,3.943.885,151.688
ACRE,5,790.101,158.020
PARÁ,50,8.063.393,161.268
BAHIA,87,15.126.371,173.866
MARANHÃO,33,6.850.884,207.603
PIAUI,14,3.194.718,228.194
Total,2.819,203.444.868,72.169
