mes_ano,Valor Pago
2014,106748270.44
2015,113902872.91
2016,125028271.6
2017,207833118.44
2018,130170399.72
2019,124801225.05
2020,114759439.63
2021,116483260.28
2022,115210455.62
2023,1355806688.8
2024,1131139720.12
2025,1056417199.19
2026,38865472.739999995
